X1_CC_4,X2_CN_4,X3_CO_4,X4_CS_4,X5_NC_4,X6_NN_4,X7_NO_4,X8_NS_4,X9_OC_4,X10_ON_4,X11_OO_4,X12_OS_4,X13_FC_4,X14_FN_4,X15_FO_4,X16_FS_4,X17_PC_4,X18_PN_4,X19_PO_4,X20_PS_4,X21_SC_4,X22_SN_4,X23_SO_4,X24_SS_4,X25_cC_4,X26_cN_4,X27_cO_4,X28_cS_4,X29_bC_4,X30_bN_4,X31_bO_4,X32_bS_4,X33_IC_4,X34_IN_4,X35_IO_4,X36_IS_4,X37_CC_8,X38_CN_8,X39_CO_8,X40_CS_8,X41_NC_8,X42_NN_8,X43_NO_8,X44_NS_8,X45_OC_8,X46_ON_8,X47_OO_8,X48_OS_8,X49_FC_8,X50_FN_8,X51_FO_8,X52_FS_8,X53_PC_8,X54_PN_8,X55_PO_8,X56_PS_8,X57_SC_8,X58_SN_8,X59_SO_8,X60_SS_8,X61_cC_8,X62_cN_8,X63_cO_8,X64_cS_8,X65_bC_8,X66_bN_8,X67_bO_8,X68_bS_8,X69_IC_8,X70_IN_8,X71_IO_8,X72_IS_8,X73_CC_12,X74_CN_12,X75_CO_12,X76_CS_12,X77_NC_12,X78_NN_12,X79_NO_12,X80_NS_12,X81_OC_12,X82_ON_12,X83_OO_12,X84_OS_12,X85_FC_12,X86_FN_12,X87_FO_12,X88_FS_12,X89_PC_12,X90_PN_12,X91_PO_12,X92_PS_12,X93_SC_12,X94_SN_12,X95_SO_12,X96_SS_12,X97_cC_12,X98_cN_12,X99_cO_12,X100_cS_12,X101_bC_12,X102_bN_12,X103_bO_12,X104_bS_12,X105_IC_12,X106_IN_12,X107_IO_12,X108_IS_12,X109_CC_16,X110_CN_16,X111_CO_16,X112_CS_16,X113_NC_16,X114_NN_16,X115_NO_16,X116_NS_16,X117_OC_16,X118_ON_16,X119_OO_16,X120_OS_16,X121_FC_16,X122_FN_16,X123_FO_16,X124_FS_16,X125_PC_16,X126_PN_16,X127_PO_16,X128_PS_16,X129_SC_16,X130_SN_16,X131_SO_16,X132_SS_16,X133_cC_16,X134_cN_16,X135_cO_16,X136_cS_16,X137_bC_16,X138_bN_16,X139_bO_16,X140_bS_16,X141_IC_16,X142_IN_16,X143_IO_16,X144_IS_16,X145_CC_20,X146_CN_20,X147_CO_20,X148_CS_20,X149_NC_20,X150_NN_20,X151_NO_20,X152_NS_20,X153_OC_20,X154_ON_20,X155_OO_20,X156_OS_20,X157_FC_20,X158_FN_20,X159_FO_20,X160_FS_20,X161_PC_20,X162_PN_20,X163_PO_20,X164_PS_20,X165_SC_20,X166_SN_20,X167_SO_20,X168_SS_20,X169_cC_20,X170_cN_20,X171_cO_20,X172_cS_20,X173_bC_20,X174_bN_20,X175_bO_20,X176_bS_20,X177_IC_20,X178_IN_20,X179_IO_20,X180_IS_20,X181_CC_24,X182_CN_24,X183_CO_24,X184_CS_24,X185_NC_24,X186_NN_24,X187_NO_24,X188_NS_24,X189_OC_24,X190_ON_24,X191_OO_24,X192_OS_24,X193_FC_24,X194_FN_24,X195_FO_24,X196_FS_24,X197_PC_24,X198_PN_24,X199_PO_24,X200_PS_24,X201_SC_24,X202_SN_24,X203_SO_24,X204_SS_24,X205_cC_24,X206_cN_24,X207_cO_24,X208_cS_24,X209_bC_24,X210_bN_24,X211_bO_24,X212_bS_24,X213_IC_24,X214_IN_24,X215_IO_24,X216_IS_24
31,6,8,0,0,0,0,0,12,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627,171,166,0,0,0,0,0,223,62,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151,570,553,0,0,0,0,0,792,210,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4214,1118,1149,9,0,0,0,0,1611,408,437,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6706,1763,1829,30,0,0,0,0,2615,680,709,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9420,2496,2648,47,0,0,0,0,3653,972,1028,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,6,8,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,154,150,0,0,0,0,0,158,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2040,543,510,0,0,0,0,0,581,160,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3990,1059,1070,10,0,0,0,0,1146,298,314,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6309,1651,1698,29,0,0,0,0,1832,484,498,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8774,2307,2463,44,0,0,0,0,2617,696,721,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,4,0,0,0,0,0,15,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,34,26,22,0,0,0,0,335,34,31,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1475,341,333,24,0,0,0,0,1240,285,286,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2807,714,758,30,0,0,0,0,2292,587,607,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3618,974,1025,42,0,0,0,0,2962,786,832,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4282,1143,1218,42,0,0,0,0,3514,939,1007,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2,1,0,9,1,1,0,21,10,5,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,72,64,13,116,25,27,3,271,68,67,10,0,0,0,0,34,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,311,294,19,472,139,129,8,1011,260,256,20,0,0,0,0,143,35,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2486,617,605,53,1077,273,268,19,2274,553,550,60,0,0,0,0,326,77,79,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4274,1104,1095,92,1902,490,484,41,3860,1002,1022,83,0,0,0,0,545,144,142,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5955,1616,1640,110,2786,737,753,55,5122,1389,1439,86,0,0,0,0,689,184,195,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,13,8,1,0,0,0,0,9,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678,230,181,21,0,0,0,0,345,117,99,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2549,752,704,50,0,0,0,0,1373,402,379,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5699,1485,1553,77,0,0,0,0,3065,808,837,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9474,2550,2723,103,0,0,0,0,5141,1375,1480,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12571,3467,3668,108,0,0,0,0,6883,1906,1996,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,8,13,0,6,4,4,0,22,16,5,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,226,227,6,116,35,38,1,436,131,142,5,0,0,0,0,108,32,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2712,809,928,26,428,133,148,4,1711,507,580,14,0,0,0,0,417,123,147,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6686,1821,2077,42,1052,275,322,8,4094,1129,1257,28,0,0,0,0,1015,285,312,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12871,3306,3619,126,2005,521,565,19,7949,2017,2240,70,0,0,0,0,1975,498,557,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21662,5555,6017,203,3345,862,933,32,13590,3523,3795,126,0,0,0,0,3397,886,948,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,6,4,0,0,0,0,0,15,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,99,66,6,0,0,0,0,352,72,54,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1429,329,312,9,0,0,0,0,1176,271,246,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2708,637,632,12,0,0,0,0,2189,519,520,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3980,1008,979,12,0,0,0,0,3196,807,795,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4832,1319,1234,16,0,0,0,0,3893,1059,991,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,8,0,0,0,0,0,0,29,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,97,79,6,0,0,0,0,354,116,93,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,337,311,11,0,0,0,0,1252,371,350,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2052,572,586,21,0,0,0,0,2339,648,678,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3026,849,917,30,0,0,0,0,3472,982,1060,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4195,1185,1275,42,0,0,0,0,4839,1371,1476,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6,4,0,0,0,0,0,12,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,91,118,8,0,0,0,0,221,48,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1769,433,508,12,0,0,0,0,839,204,241,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4189,1033,1171,25,0,0,0,0,2050,515,574,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8026,2003,2218,56,0,0,0,0,3968,999,1106,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13445,3419,3684,96,0,0,0,0,6641,1699,1828,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5,3,0,2,1,1,0,9,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,95,60,9,69,24,16,1,142,46,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220,382,344,20,283,95,82,5,553,165,151,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2619,705,750,26,642,178,180,6,1208,341,351,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4206,1086,1171,44,1040,273,289,12,1996,522,552,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5554,1490,1605,63,1394,382,400,16,2686,723,776,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,10,0,4,3,3,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,601,171,162,0,104,37,28,0,146,31,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,17,20,0,0,0,0,0,2165,580,551,0,417,119,118,0,478,121,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,57,54,0,0,0,0,0,4230,1112,1138,8,887,234,232,1,898,244,242,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,117,122,3,0,0,0,0,6648,1738,1767,35,1448,376,387,8,1383,366,367,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733,191,192,3,0,0,0,0,9337,2463,2560,44,2117,564,581,11,1898,499,515,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984,264,270,4,0,0,0,0
9,7,1,0,0,0,0,0,13,11,9,0,0,0,0,0,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,37,32,0,0,0,0,0,228,94,102,0,0,0,0,0,49,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,118,129,0,0,0,0,0,866,294,337,0,0,0,0,0,196,62,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801,244,286,5,0,0,0,0,2038,618,748,10,0,0,0,0,429,125,157,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1565,439,530,13,0,0,0,0,3973,1103,1329,32,0,0,0,0,818,226,269,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2602,722,837,23,0,0,0,0,6643,1848,2122,61,0,0,0,0,1386,388,442,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2,6,0,0,0,0,0,12,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,115,116,0,0,0,0,0,200,47,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1512,386,369,0,0,0,0,0,643,159,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2987,789,798,9,0,0,0,0,1313,341,352,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4767,1252,1284,23,0,0,0,0,2097,546,565,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6571,1722,1815,31,0,0,0,0,2857,757,790,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
