X1_estat,X2_hb,X3_vdw,X4_dsolv,X5_tors,Y1_AD4Score
0.1027,-0.0333,-15.1245,2.4775,2.6847,-9.8928
0.2239,-1.5247,-17.218,7.6146,7.1592,-3.7451
0.4347,-0.6193,-25.4713,8.4115,9.5456,-7.6989
0.2883,-0.7294,-25.0225,7.7672,7.4575,-10.2389
-0.0335,-0.0187,-9.6566,2.1502,0.8949,-6.6637
-0.7031,-0.4842,-9.5518,1.4495,0.5966,-8.6931
0.07,-0.01,-9.192,0.903,0.2983,-7.9307
-0.8501,-0.566,-7.0169,1.8283,1.1932,-5.4116
-1.208,-1.0206,-15.6739,3.4533,4.7728,-9.6764
-0.5218,-0.2171,-17.5279,3.7222,4.7728,-9.7718
0.0645,-0.1906,-14.7566,2.8841,5.6677,-6.3309
-0.1802,-0.207,-22.2205,5.4977,7.7558,-9.3542
0.0115,-0.7887,-17.5148,3.4672,7.1592,-7.6655
-0.9134,-1.9751,-16.9551,3.6965,5.0711,-11.076
-0.2438,-0.9813,-12.4193,2.1419,4.4745,-7.028
-0.8758,-0.037,-14.2031,2.7868,2.983,-9.3461
0.2603,-0.0577,-10.0715,3.6225,1.4915,-4.7549
0.2457,-0.153,-9.9993,3.501,1.4915,-4.9141
-1.4942,-0.6082,-7.5804,2.9727,1.4915,-5.2186
-0.1322,-0.591,-5.6244,1.5113,1.4915,-3.3447
-0.956,-1.0825,-14.9412,3.0747,3.8779,-10.027
-0.2969,-0.0388,-13.7046,3.1759,4.1762,-6.6882
-0.1037,-0.62,-8.1359,3.274,2.0881,-3.4974
0.4593,-0.4289,-6.9522,3.334,2.3864,-1.2015
-0.1517,-0.6325,-7.5142,2.6969,1.7898,-3.8117
-1.0113,-0.5846,-8.0849,3.7293,2.0881,-3.8633
0.2227,-0.0162,-6.3816,3.2825,1.7898,-1.1028
0.3136,-0.001,-6.2585,3.3966,1.7898,-0.7595
0.1432,-0.0455,-6.6139,1.3988,1.1932,-3.9242
-0.2543,-0.0298,-12.3338,2.4363,3.5796,-6.602
-1.1134,-0.3808,-17.2704,2.7625,4.4745,-11.5276
-0.1389,-0.483,-8.9412,1.865,1.1932,-6.5049
0.2495,-1.1774,-11.0076,6.0359,3.2813,-2.6182
0.1404,-0.6048,-9.621,2.258,1.4915,-6.3359
4e-04,-0.0179,-8.3941,1.4303,0.5966,-6.3848
0.3666,-0.0858,-12.2136,3.1905,1.7898,-6.9526
0.006,-0.0702,-14.4465,2.609,2.6847,-9.217
-0.0597,-0.5666,-10.0103,1.1703,1.7898,-7.6765
-0.0604,-0.5823,-10.0048,1.3167,1.7898,-7.541
0.7011,-0.1057,-13.75,2.3256,0.8949,-9.9342
-0.933,-1.5391,-9.5996,4.2179,2.983,-4.8709
0.7117,-0.7339,-7.7613,1.6949,0.8949,-5.1936
-0.1298,-0.4678,-11.61,1.7266,2.0881,-8.3929
-0.0937,-0.6506,-4.1839,1.4425,0.5966,-2.8892
-0.5659,-1.8121,-4.6844,2.3755,0.2983,-4.3886
0.1676,-0.0199,-8.4146,1.8005,0.5966,-5.8698
-0.036,-0.1848,-4.8276,1.8559,0,-3.1926
-0.0252,-0.9117,-9.0227,3.5883,2.0881,-4.2832
0.0619,-0.5017,-7.7176,3.0489,1.4915,-3.617
-0.0743,-0.5703,-6.6032,2.0923,1.1932,-3.9623
0.0117,-0.2905,-8.8022,3.0697,1.1932,-4.8181
-0.0115,-0.283,-6.8616,2.4297,1.1932,-3.5333
0.1445,-0.0059,-11.5258,1.0807,1.1932,-9.1133
0.0115,-0.0085,-12.7523,0.6007,1.1932,-10.9553
-0.1345,-1e-04,-11.8064,-0.0205,1.1932,-10.7683
-0.9351,-0.2307,-8.0239,1.0449,0.8949,-7.25
-0.6107,-0.142,-11.2926,3.6788,2.6847,-5.6818
-0.1546,-0.0668,-13.4851,4.0091,3.5796,-6.1177
0.0059,-0.3302,-5.4073,1.3168,0.5966,-3.8182
0.0169,-0.2385,-11.3243,2.6992,1.7898,-7.057
0.3715,-0.5108,-13.4838,3.5325,2.3864,-7.704
-0.1017,-0.5206,-7.3049,0.9674,1.1932,-5.7666
0.0348,-0.0103,-7.9582,0.7275,1.1932,-6.013
0.1513,-0.5732,-13.186,2.2423,2.6847,-8.6808
-0.2577,-0.83,-4.4521,1.8624,0.8949,-2.7824
-0.0217,-0.5861,-9.1613,0.7432,0.8949,-8.1309
-0.0275,-0.5511,-12.4806,1.5048,2.0881,-9.4663
-0.0261,-0.3039,-11.3303,2.3497,2.0881,-7.2224
-0.1079,-0.8579,-12.7002,2.2923,1.7898,-9.5839
-0.0633,-0.3446,-13.305,2.989,2.3864,-8.3374
-0.1297,-1.2416,-10.9755,1.4497,2.6847,-8.2124
0.2433,-0.3972,-15.1193,2.7113,5.966,-6.5959
-0.2109,-0.0092,-19.4889,2.6163,5.3694,-11.7232
0.0345,-0.0757,-11.8282,2.7973,1.4915,-7.5806
-0.2703,-1.3385,-11.9238,3.3693,2.983,-7.1803
-1.3915,-1.5046,-14.296,5.3975,3.5796,-8.215
-1.2557,-0.805,-8.0702,3.5607,1.7898,-4.7804
-0.7222,-0.1899,-8.3638,4.0483,1.7898,-3.4378
-1.5642,-0.2854,-7.4411,3.2546,1.7898,-4.2464
-1.9691,-1.7251,-4.3605,2.7553,1.4915,-3.808
-2.4308,-1.1456,-3.5056,2.3229,0.8949,-3.8642
0.3684,-1.1279,-6.5861,3.438,1.1932,-2.7144
0.0042,-0.3278,-5.4039,0.8918,0.5966,-4.2391
0.0056,-0.3331,-5.3838,1.3212,0.5966,-3.7934
-0.0437,-0.0047,-12.4577,1.2511,1.1932,-10.0618
-0.2141,-0.4453,-6.4674,0.7857,1.4915,-4.8495
-0.0191,-0.1022,-12.4679,2.3767,3.2813,-6.9312
-0.0112,-0.8686,-11.2657,1.8616,1.4915,-8.7923
7e-04,-0.6583,-4.9001,2.0949,0,-3.4628
-0.1313,-0.4448,-8.4407,2.4256,1.7898,-4.8015
-0.0113,-0.7413,-9.8392,2.4367,1.7898,-6.3653
0.2669,-0.0061,-12.8187,2.0079,3.5796,-6.9704
-0.0519,-0.0244,-12.3193,2.3739,3.2813,-6.7404
0.1909,-0.0595,-12.1938,2.5659,4.1762,-5.3204
-0.0323,-0.3569,-8.0511,2.8149,1.4915,-4.1339
0.0448,-0.2628,-7.1677,2.8668,1.4915,-3.0273
0.1326,-0.1359,-8.3904,3.1451,1.7898,-3.4589
0.1219,-6e-04,-5.6413,1.2396,0.8949,-3.3856
-0.0403,-0.0234,-5.2513,1.2343,0.5966,-3.484
-0.04,-0.0132,-5.416,1.5895,0.5966,-3.2831
-1.4942,-1.4075,-21.259,7.1226,8.949,-8.0891
0.0487,-0.0051,-11.4182,2.506,1.7898,-7.0787
-0.2915,-0.0136,-9.866,1.7616,0.5966,-7.8128
0.1489,-3e-04,-9.4182,1.4568,1.7898,-6.023
0.0095,-0.7292,-15.4021,4.6153,5.6677,-5.8388
-0.3986,-0.3425,-14.0598,3.6778,4.1762,-6.9469
-0.066,-0.0099,-9.9157,0.8549,1.1932,-7.9436
-0.0559,-0.3384,-9.0664,0.4198,1.1932,-7.8477
-0.0425,-0.8068,-12.1168,0.9269,1.7898,-10.2494
-0.0775,-0.4894,-8.4369,2.5716,2.6847,-3.7473
-1.4517,-0.5671,-9.9,1.9219,2.0881,-7.9088
-1.8964,-1.1327,-10.2983,2.0991,2.0881,-9.1402
0.9706,-1.2663,-13.3196,4.6324,2.3864,-6.5965
0.6901,-0.6132,-12.9532,4.4615,3.2813,-5.1334
0.4995,-0.9349,-12.2224,5.1099,2.983,-4.5649
-0.6271,-0.2631,-18.756,6.7963,7.7558,-5.0942
0.0716,-0.048,-7.5051,1.8162,1.4915,-4.1738
0.0647,-0.0511,-7.5626,1.8039,1.4915,-4.2537
-0.0066,-0.9368,-8.6709,2.7447,1.7898,-5.0797
-2.2948,-1.1515,-10.4523,4.6379,2.6847,-6.5761
-3.6394,-1.7615,-16.7754,7.6381,4.7728,-9.7654
-3.266,-1.1298,-9.582,4.4859,2.3864,-7.1055
-2.1036,-1.2688,-9.6225,4.4484,2.0881,-6.4583
-5.702,-2.8178,-15.6846,8.7513,6.2643,-9.1888
0.1374,0,-10.0614,-0.0958,2.3864,-7.6334
0.0027,-5e-04,-6.5629,0.1814,0.2983,-6.0811
-0.0248,-0.0132,-8.7556,1.0971,0.8949,-6.8015
0.1371,-1e-04,-5.8813,1.2227,0.5966,-3.9251
-0.0286,-0.0147,-9.3623,0.9891,1.7898,-6.6266
-1.2372,-0.2874,-18.8288,4.8697,7.1592,-8.3245
-0.0793,-0.4661,-16.8902,3.4919,5.6677,-8.2759
-2.3595,-1.4171,-15.4846,3.0419,5.6677,-10.5516
-0.9815,-0.2414,-18.0436,6.0811,5.6677,-7.5177
-0.504,-0.6432,-10.5473,3.928,3.8779,-3.8886
0.1418,-0.4608,-14.7014,2.4794,4.1762,-8.3647
-0.1697,-0.3554,-15.7919,2.6044,4.4745,-9.2381
0.0654,-0.1644,-4.2754,1.0932,0.8949,-2.3863
0.0564,-0.0031,-9.1757,1.6301,0,-7.4924
-0.0725,-0.5465,-12.2508,3.4375,2.6847,-6.7476
-1.2898,-1.1366,-7.7959,3.7137,2.0881,-4.4204
-1.9693,-1.1049,-8.1814,4.5817,2.0881,-4.5857
-1.7919,-1.1045,-8.1913,4.5161,2.0881,-4.4834
0.083,-0.4614,-11.2479,3.8799,2.0881,-5.6583
-0.0409,-0.0207,-8.6027,1.2985,1.4915,-5.8744
-0.9806,-0.0019,-8.5783,1.0897,4.4745,-3.9965
-1.0245,-0.0069,-9.6776,2.5823,2.3864,-5.7404
-1.0262,-0.8772,-8.5709,1.0732,1.4915,-7.9096
-1.1419,-0.8716,-9.6215,1.2777,1.4915,-8.8658
-1.388,-0.4427,-5.8491,1.9789,1.1932,-4.5078
-2.5146,-0.2997,-6.0892,2.024,0.8949,-5.9846
-0.9466,-0.0049,-4.5656,1.3686,0.5966,-3.5519
1.1026,-0.0451,-7.1598,1.0805,0.2983,-4.7235
1.7466,-0.0086,-11.8191,2.1744,4.4745,-3.4321
0.0136,-3e-04,-7.1483,0.4923,0.5966,-6.0461
2.4379,-1.8791,-9.3216,4.3845,4.1762,-0.202
1.0813,-0.6302,-10.8299,3.533,5.3694,-1.4763
0.8667,-1.1223,-10.883,3.5246,5.6677,-1.9463
-0.2146,-1.4967,-5.9349,2.1624,1.7898,-3.6939
0.1832,-1.8861,-11.9671,5.3407,5.0711,-3.2581
0.6544,-1.8081,-15.625,7.1145,10.1422,0.478
-0.0639,-1.8415,-5.0584,2.0319,1.4915,-3.4404
-0.0828,-0.5685,-6.304,2.3698,1.4915,-3.094
0.0703,-0.0664,-9.7051,2.6998,2.3864,-4.615
-0.9405,-0.914,-7.1388,3.8359,2.983,-2.1744
-0.0393,-0.7333,-7.4509,3.7501,2.6847,-1.7887
0.0155,-0.8458,-8.3502,4.2079,2.6847,-2.2879
1.0429,-0.8985,-5.8847,3.0551,1.4915,-1.1936
-0.0257,-1.6766,-5.3995,2.679,1.7898,-2.633
0.1233,-0.0432,-9.8731,2.7839,2.3864,-4.6228
-3.417,-0.578,-7.5345,2.8265,2.0881,-6.6149
-1.1497,-1.2031,-6.1433,2.6665,1.7898,-4.0398
-4.1234,-1.0293,-9.4499,4.0855,2.0881,-8.429
0.8006,-0.0185,-14.0024,2.3292,4.4745,-6.4165
-3.4113,-1.9517,-16.3828,5.052,9.2473,-7.4466
-0.0793,-1.1573,-14.3899,2.4719,5.966,-7.1886
-2.2034,-1.194,-8.1417,2.9818,2.6847,-5.8725
-2.1669,-0.8502,-8.1107,2.9548,2.6847,-5.4883
-2.1593,-1.315,-8.852,3.1162,2.3864,-6.8237
-2.0341,-0.004,-4.4027,1.9113,0.5966,-3.9328
-1.5661,-0.3777,-5.414,0.8881,0.8949,-5.5748
-1.5843,-0.4199,-5.5036,0.9426,0.8949,-5.6704
-0.0755,-0.9971,-8.077,2.7101,0.8949,-5.5447
1.1687,-0.3667,-8.6773,3.5984,1.1932,-3.0837
1.0279,-0.0023,-5.4105,1.396,0.2983,-2.6906
-0.0695,-0.7751,-8.4138,2.2719,0.8949,-6.0917
0.2919,-0.038,-14.7191,3.774,2.983,-7.7083
0.0536,-0.4181,-9.4478,1.8212,1.1932,-6.7979
-0.0027,-1.2397,-9.4341,2.6601,2.0881,-5.9283
-0.2783,-1.2341,-9.4408,1.634,2.0881,-7.2311
-0.2239,-1.5547,-13.1667,2.8544,3.2813,-8.8095
-1.1631,-0.0012,-4.2259,1.2972,0.2983,-3.7947
-1.3535,-1.1086,-8.9732,2.6211,1.1932,-7.621
-2.1666,-0.6733,-9.8778,3.8585,1.7898,-7.0695
0.7752,-0.337,-9.0082,2.3711,1.1932,-5.0057
0.799,-0.0093,-10.3214,1.2339,2.3864,-5.9115
0.7503,-0.5968,-11.1698,2.7731,2.6847,-5.5586
-0.6527,-0.8946,-16.7883,6.2102,7.1592,-4.9663
0.6888,-2.0381,-15.838,5.1345,9.5456,-2.5072
-1.125,-1.991,-18.8064,5.2835,7.4575,-9.1814
-1.2163,-0.1259,-8.2558,2.5887,0.8949,-6.1143
-0.8436,-0.1298,-8.3801,2.9547,0.5966,-5.8022
1.1397,-0.167,-7.1003,1.8529,0.2983,-3.9764
-2.3612,-0.1779,-6.5359,1.9171,1.1932,-5.9647
-3.6915,-0.3218,-12.7095,3.3366,4.7728,-8.6134
-3.3028,-0.3966,-13.7011,2.5085,4.7728,-10.1192
1.387,-0.6166,-13.2191,2.3594,5.6677,-4.4216
-0.1683,-0.6308,-15.8481,4.3731,7.7558,-4.5183
-0.736,-0.865,-13.1981,2.4787,7.1592,-5.1612
-1.7485,-1.0965,-11.3654,2.4209,5.0711,-6.7184
-0.2181,-0.9492,-10.8693,2.4928,4.4745,-5.0693
-0.6154,-0.0165,-9.7883,1.5434,2.983,-5.8938
-1.3865,-1.6241,-7.5519,3.3244,1.4915,-5.7466
-1.322,-1.5948,-7.4855,3.3214,1.4915,-5.5894
-1.245,-1.3068,-7.2841,3.3148,1.4915,-5.0296
0.94,-0.7051,-5.2663,2.097,1.4915,-1.443
-1.8201,-1.1607,-13.1787,3.237,3.8779,-9.0446
-1.7064,-0.9893,-11.6699,2.5497,4.1762,-7.6398
1.3412,-0.7261,-8.3845,4.0663,2.0881,-1.615
1.2992,-0.7919,-7.2629,3.4489,2.3864,-0.9202
0.9201,-0.9541,-7.0879,2.8275,1.7898,-2.5047
-4.0788,-0.4863,-6.2035,3.6056,2.0881,-5.0749
-2.3174,-1.2043,-6.3356,3.3488,1.7898,-4.7187
-3.1987,-0.4522,-6.3441,3.3439,1.7898,-4.8612
-1.487,-0.2971,-5.5998,1.405,1.1932,-4.7857
-2.4473,-0.4009,-12.316,3.1436,3.5796,-8.441
-2.4196,-0.3915,-12.6661,1.9637,4.4745,-9.039
1.3411,-0.0679,-7.4835,1.641,1.1932,-3.3761
-3.6442,-0.7394,-11.7515,6.1009,3.2813,-6.753
0.1993,-0.209,-8.6734,2.8746,1.4915,-4.317
0.0036,-0.9994,-6.7839,2.1625,0.5966,-5.0205
0.6747,-0.1468,-8.9248,2.5897,1.7898,-4.0174
-0.2224,-1.1239,-12.4824,3.2271,2.6847,-7.9169
-0.0527,-0.6293,-6.9853,1.6559,1.1932,-4.8183
-0.0516,-0.4228,-8.3327,2.1873,1.1932,-5.4266
0.8542,-0.0556,-10.6633,2.8509,0.8949,-6.1189
-0.0489,-0.8522,-11.4722,5.1281,3.2813,-3.9641
0.8395,-0.5729,-6.9189,1.7222,0.8949,-4.0353
-0.0032,-0.7201,-10.7896,2.5164,2.0881,-6.9085
-0.1876,-0.0034,-4.4227,1.411,0.5966,-2.6061
0.9998,-0.3923,-4.5165,2.085,0.2983,-1.5257
-0.9888,-0.0055,-7.1801,2.5721,0.5966,-5.0058
-0.0695,-0.8621,-5.5763,2.2625,0,-4.2454
-1.1286,-1.0708,-7.8427,3.4881,2.0881,-4.466
0.7318,-1.6509,-7.3234,3.3007,1.4915,-3.4503
-0.3278,-0.7764,-5.9762,2.2884,1.1932,-3.5988
0.3497,-0.1697,-7.6567,2.7335,1.1932,-3.5499
-0.237,-0.529,-5.8742,2.2613,1.1932,-3.1858
-0.3851,-9e-04,-9.7374,1.736,1.1932,-7.1942
-0.3629,-0.0019,-9.7042,1.72,1.1932,-7.1559
-0.7802,-0.4278,-8.7862,0.6272,1.1932,-8.1739
-1.1952,-0.0174,-6.442,1.3462,0.8949,-5.4134
-3.1442,-1.1773,-9.2183,2.8867,2.6847,-7.9684
-3.1603,-0.0046,-11.3425,3.5313,3.5796,-7.3965
0.0424,-0.1231,-5.0701,1.3741,0.5966,-3.1801
-0.0472,-1.2716,-11.8232,3.3276,1.7898,-8.0246
0.8519,-1.3842,-9.9759,2.9794,2.3864,-5.1424
0.0125,-0.5839,-6.3614,1.337,1.1932,-4.4027
-0.0886,-0.2059,-6.3761,1.3013,1.1932,-4.176
0.9992,-0.127,-9.7702,1.6355,2.6847,-4.5778
1.1018,-0.599,-4.323,1.8161,0.8949,-1.1091
-0.102,-0.5442,-9.0732,1.7282,0.8949,-7.0964
-0.0176,-0.2028,-10.9971,2.2501,2.0881,-6.8793
1.7449,-0.6691,-8.8353,2.8925,2.0881,-2.7789
-0.0285,-0.5752,-10.2019,2.1028,1.7898,-6.9129
0.0308,-0.753,-10.8479,3.2477,2.3864,-5.936
-0.1858,-0.7782,-11.4265,1.8578,2.6847,-7.8481
1.6367,-1.7499,-13.2099,3.5438,5.966,-3.8132
-0.9077,-0.7837,-14.991,2.2209,5.3694,-9.0921
-0.0893,-1.1956,-9.7899,3.0346,1.4915,-6.5488
-1.5137,-0.202,-10.6224,3.339,2.983,-6.016
-1.3373,-0.7306,-11.7477,4.6789,3.5796,-5.5571
-1.1711,-1.3156,-7.8604,3.6812,1.7898,-4.8762
-1.6532,-0.5556,-8.542,4.6189,1.7898,-4.3421
-1.191,-0.3718,-7.8832,3.4007,1.7898,-4.2555
-2.6159,-0.4448,-5.3227,3.0183,1.4915,-3.8736
-2.2849,-0.0058,-4.4011,2.5555,0.8949,-3.2415
-1.5658,-0.5218,-4.3427,2.4103,1.1932,-2.8268
0.0253,-0.2401,-5.1126,0.9737,0.5966,-3.757
0.0297,-0.2235,-5.1065,1.3955,0.5966,-3.3081
0.0062,-0.4223,-10.4616,1.9868,1.1932,-7.6978
1.1524,-0.3792,-6.2245,1.4059,1.4915,-2.5539
-0.1528,-1.1001,-9.9968,2.7516,3.2813,-5.2169
-0.0765,-0.7445,-10.6746,2.7329,1.4915,-7.2712
-0.0433,-0.4926,-5.3719,2.2217,0.2983,-3.3878
-0.0454,-0.8278,-7.2591,2.5465,1.7898,-3.796
0.0312,-0.5939,-8.3506,2.5393,1.7898,-4.5842
0.7766,-0.3576,-13.5567,3.3655,3.5796,-6.1926
0.7085,-0.4484,-11.2152,3.0395,3.2813,-4.6344
0.659,-0.2826,-11.8902,2.5573,4.1762,-4.7802
-0.1212,-0.3904,-7.0535,2.8737,1.7898,-2.9017
-0.0842,-1.0446,-7.2991,3.1263,1.4915,-3.8102
0.0164,-0.6348,-6.7833,3.3676,1.7898,-2.2444
-1.1242,-0.1118,-5.4208,1.3689,0.8949,-4.393
-0.9473,-0.0355,-5.1437,1.8755,0.5966,-3.6544
-0.9354,-0.0168,-5.2414,2.1529,0.5966,-3.4441
-1.7711,-2.2493,-16.1596,5.7779,8.949,-5.453
-0.6443,-0.2863,-10.7911,2.4422,1.7898,-7.4897
-1.1134,-0.106,-8.9695,1.9919,0.8949,-7.302
-1.9732,-0.2278,-7.4142,1.6365,1.7898,-6.1889
-2.2489,-1.5247,-14.0674,5.5112,5.6677,-6.6622
-1.8875,-1.3661,-11.4479,4.0558,4.1762,-6.4695
0.0156,-0.0028,-6.1822,0.416,1.1932,-4.5603
0.008,-0.001,-6.156,0.2624,1.1932,-4.6934
1.1841,-0.2754,-9.7085,1.584,1.7898,-5.4261
-0.171,-0.9648,-8.6805,3.4005,2.6847,-3.7311
-2.1281,-0.6937,-7.8677,1.4803,2.0881,-7.1211
-2.2065,-1.0078,-7.7044,1.554,2.0881,-7.2766
-1.0992,-0.3497,-11.7661,4.6798,2.6847,-5.8505
-1.1742,-0.8035,-12.3135,4.6798,2.983,-6.6284
-1.155,-0.7409,-12.204,4.5439,2.983,-6.573
0.123,-0.6603,-17.6641,6.5874,7.7558,-3.8581
-1.0755,-0.0152,-6.4478,2.1027,1.4915,-3.9443
-0.9222,-0.1364,-7.3356,2.7503,1.4915,-4.1523
-1.0584,-1.0688,-7.7038,3.1642,1.7898,-4.877
-2.5038,-1.4043,-10.7652,5.355,2.6847,-6.6336
-4.2227,-1.3735,-15.127,6.8848,4.7728,-9.0656
-2.1375,-1.9475,-8.9557,4.2913,2.3864,-6.363
-2.8686,-1.4293,-9.2501,4.6734,2.0881,-6.7864
-3.9007,-1.2734,-15.3244,7.0796,6.2643,-7.1546
-1.0928,-0.5979,-7.6497,-0.0471,2.3864,-7.0011
-0.1241,-0.5858,-5.7546,0.7667,0.2983,-5.3995
0.0119,-0.0128,-8.4778,1.9858,0.8949,-5.598
-0.9085,-0.0065,-5.2971,1.8138,0.5966,-3.8017
0.0075,-0.0075,-7.8406,1.3707,1.7898,-4.6801
0.5847,-1.3648,-16.121,4.5197,7.1592,-5.2222
-2.0167,-0.3112,-13.5117,3.8046,5.6677,-6.3673
-2.0315,-0.5736,-13.2769,3.68,5.6677,-6.5343
-4.2965,-1.2541,-14.3467,5.4203,5.6677,-8.8093
-1.5169,-0.6291,-10.9206,4.6608,3.8779,-4.5279
-0.2535,-0.4935,-11.5945,1.9857,4.1762,-6.1795
-0.1567,-0.2065,-13.5834,2.0154,4.4745,-7.4568
-0.1419,-0.5726,-3.7259,0.9255,0.8949,-2.6199
-0.0619,-0.1153,-7.5155,0.957,0,-6.7357
-0.225,-0.0287,-10.7507,1.7797,2.6847,-6.54
-2.1242,-0.6493,-8.2151,3.6952,2.0881,-5.2053
-1.3932,-1.4017,-8.1098,4.4854,2.0881,-4.3313
-1.3256,-1.2481,-7.9014,4.5572,2.0881,-3.8298
0.0501,-0.0355,6.4912,3.8676,2.0881,12.4615
-0.265,-0.6175,-7.4053,1.7974,1.4915,-4.9989
-1.2221,-0.7179,-8.6565,0.8432,4.4745,-5.2788
-0.567,-0.0116,-10.6996,3.5069,2.3864,-5.3849
-1.0599,-0.8164,-10.3887,3.1191,1.4915,-7.6544
-1.0329,-0.7546,-10.6474,2.8165,1.4915,-8.1268
-1.0002,-1.0396,-7.4569,2.5433,1.1932,-5.7602
-0.8167,-0.6972,-7.6326,2.2846,0.8949,-5.9669
-0.9561,-0.8772,-5.6104,1.3945,0.5966,-5.4526
0.2333,-0.8083,-5.6179,2.1438,0.2983,-3.7508
0.5822,-0.6384,-12.4221,3.2855,4.4745,-4.7183
-0.0324,-0.0295,-6.1995,1.1991,0.5966,-4.4657
-0.3121,-1.6841,-10.1378,5.2305,4.1762,-2.7273
-0.1272,-1.7787,-11.5784,5.4857,5.3694,-2.6292
0.173,-0.9736,-11.25,5.4842,5.6677,-0.8987
-0.1725,-2.41,-5.0384,2.469,1.7898,-3.3621
-0.3276,-1.0072,-10.8667,6.4579,5.0711,-0.6725
0.8807,1087.3849,19902.2939,13.455,9.2473,21013.2619
-0.211,-2.7633,-5.2077,2.6164,1.4915,-4.0742
0.2183,-1.482,-4.391,2.6313,1.4915,-1.5318
-0.3741,-1.1419,-9.8845,2.7572,2.3864,-6.257
-0.7207,-1.5542,-8.1405,4.7719,2.983,-2.6605
-0.4275,-2.1669,-7.7512,4.6513,2.6847,-3.0096
-0.3821,-1.4586,-7.0259,4.4364,2.6847,-1.7455
0.2692,-1.3635,-4.0903,2.6796,1.4915,-1.0136
-0.3063,-1.5781,-4.6448,2.8784,1.7898,-1.8609
-0.1613,-1.4458,-10.0145,2.8254,2.3864,-6.4098
-3.4807,8.4508,-6.0744,3.6958,2.0881,4.6795
-1.695,-1.8127,-5.0026,3.2873,1.7898,-3.4332
-1.6766,-1.2909,-7.5702,3.8468,2.0881,-4.6029
