X1_VDW,X2_HB,X3_HP,X4_HM,X5_HS,X6_RT,Y1_HPScore,Y2_HMScore,Y3_HSScore,Y4_affinity_score
717.31,0.73,130.35,4.22,199.75,1,7.46,8.04,6.96,7.49
418.73,1.6,102.35,2.78,197.53,2,6,6.29,5.73,6.01
459.38,0.9,127.73,3.08,223.95,2,6.35,6.49,5.95,6.27
731.28,3.04,156.99,5.25,314.42,6,7.58,8.25,7.19,7.67
233.15,0.95,13.88,0,28.39,2,4.43,4.4,4.26,4.36
487.33,1.11,129.49,2.97,199.19,1,6.55,6.68,6.07,6.43
655.51,0,164.09,4.28,237.84,4,7.3,7.46,6.54,7.1
663.05,0.74,67.02,2.66,165.87,4,6.49,6.93,6.34,6.59
676.5,0.94,124.56,4.25,224.39,2,7.2,7.82,6.82,7.28
699.91,0.5,90.98,3.63,220.37,3,6.9,7.53,6.78,7.07
614.44,1.88,170.53,3.96,321.45,6,7.17,7.17,6.67,7
829.1,0.6,236.22,5.52,320.49,17,7.88,7.43,6.44,7.25
1098.7,0.65,299.14,9.47,464.1,13,9.77,10.43,8.46,9.55
631.73,0.16,137.19,3.29,193.88,0,7.21,7.38,6.64,7.08
662.69,2.61,105.6,3.5,143.07,6,6.82,7.25,6.2,6.76
782.46,1.96,102.02,4.47,143.16,5,7.29,8.14,6.72,7.38
442.3,2.62,11.83,0.34,27.26,4,5.21,5.34,5.04,5.2
481.59,0.68,0,0,0,4,5.16,5.17,4.94,5.09
411.04,1.91,15.53,0,37.85,4,5.08,5.02,4.9,5
216.25,3.49,0,0,0,3,4.31,4.49,4.18,4.33
168.2,4.44,0,0,0,3,4.17,4.4,4.05,4.21
308.19,2.66,0,0,0,3,4.63,4.78,4.49,4.63
272.71,0.95,94.82,1.98,129.72,0,5.44,5.52,5.01,5.32
272.11,0.82,96.16,1.98,132.31,0,5.44,5.5,5.01,5.32
692.61,0,146.74,4.67,256.2,1,7.47,8.05,7.03,7.52
343.53,0.3,136.51,2.7,195.67,4,5.82,5.63,5.15,5.53
666.38,0.27,177.98,3.85,206.99,6,7.36,7.17,6.3,6.94
610.64,1.38,187.78,5.19,279.18,0,7.65,8.16,6.99,7.6
263.95,1.08,0,0,0,0,4.56,4.73,4.46,4.58
477.54,0.48,31.53,0.89,47.83,3,5.48,5.58,5.19,5.42
542.88,1.63,24.74,0.68,52.16,4,5.68,5.78,5.47,5.64
764.05,0.53,191.33,5.55,356.43,8,7.76,8.05,7.13,7.65
720.33,0.96,145.48,3.77,299.62,7,7.26,7.33,6.85,7.14
721.67,0.19,144.37,5.31,355.81,9,7.09,7.66,6.84,7.2
449.09,1.59,33.7,0.63,30.79,2,5.5,5.58,5.18,5.42
392.67,0.48,0,0,0,2,4.92,4.99,4.75,4.89
462.18,1.18,0,0,0,2,5.23,5.34,5.08,5.22
304.18,0,93.98,1.64,132.05,2,5.38,5.23,4.89,5.17
276.84,0.31,80.49,1.64,107.87,0,5.29,5.34,4.89,5.17
289.34,0,49.12,0.97,52.41,0,5.04,5.1,4.69,4.95
1164.85,3.41,104.48,3.97,248.48,24,7.76,7.78,7.07,7.54
647.11,0,137.87,5.61,274.48,6,6.9,7.74,6.47,7.04
534.45,1,131.28,2.52,210.35,0,6.81,6.78,6.38,6.66
481.88,0,98.41,3.26,218.71,4,6.01,6.37,5.77,6.05
827.75,1.6,102.86,3.8,247.68,15,6.85,7.05,6.4,6.77
764.71,0.74,162.66,3.9,247.56,11,7.33,7.14,6.44,6.97
500.56,0,127.4,4.69,309.58,4,6.35,7,6.21,6.52
470.28,0.17,148.1,5.4,386.47,4,6.42,7.17,6.41,6.67
678.36,0.7,224.19,5.96,305.7,4,7.97,8.27,6.96,7.73
462.73,1.04,61.5,2.07,180.28,7,5.47,5.65,5.35,5.49
533.86,1.37,135.19,4.47,221.26,3,6.68,7.28,6.18,6.71
550.93,2.86,135.72,4.47,242.01,3,6.84,7.5,6.44,6.92
713.96,1.17,66.47,2,101.82,6,6.59,6.73,6.14,6.49
718.84,0.91,77.27,2.25,87.73,4,6.82,7.02,6.26,6.7
680.99,0.87,50.68,2,93.19,6,6.3,6.57,5.95,6.27
1061.65,1.34,128.15,3.58,243.18,18,7.82,7.59,7.02,7.48
413.84,0.18,75.02,1.33,110.31,5,5.48,5.27,4.99,5.24
416.42,0.18,75.41,1.33,105.82,5,5.49,5.28,4.98,5.25
512.59,1.48,52.87,1.05,80.87,4,5.8,5.79,5.45,5.68
579.51,3.21,0,0,0,6,5.57,5.63,5.34,5.51
918.68,3.63,38.32,0.92,101.96,14,6.8,6.61,6.42,6.61
519.73,2.92,0,0,0,6,5.31,5.36,5.08,5.25
538.58,3.09,0,0,0,6,5.4,5.45,5.17,5.34
833.89,7.78,0,0,0,16,6.22,6.14,5.79,6.05
568.7,0,220.03,4.29,397.27,8,7.21,6.73,6.47,6.8
283.42,0,61.1,3.19,232.78,0,5.12,5.94,5.39,5.48
433.36,0,111.61,4.59,242.06,0,6.18,7.08,6.03,6.43
312.36,0,77.74,1.64,95.17,1,5.33,5.36,4.87,5.18
539.22,0.52,152.69,4.63,347.99,3,6.82,7.28,6.64,6.91
1037.14,1.56,217.2,6.24,398.23,16,8.65,8.74,7.74,8.38
967.49,0.83,212.85,5.5,375.91,17,8.23,8,7.23,7.82
856.7,4.21,163.21,4.8,377.85,17,7.53,7.63,7.04,7.4
989.56,1.66,149.23,3.54,286.5,16,7.86,7.51,7.11,7.49
582.44,1.58,83.29,1.9,189.74,10,6,5.82,5.63,5.82
797.52,1.49,173.78,4.17,333.73,9,7.73,7.65,7.15,7.51
875.2,0.51,181.77,5.07,400.88,9,8.06,8.21,7.66,7.98
208.51,0.93,19.49,0,107.82,2,4.38,4.3,4.48,4.39
526.56,0.3,61.54,4.64,268.92,0,6.12,7.5,6.53,6.72
684.17,0.99,83.57,5.68,348.63,6,6.62,8.02,6.99,7.21
427.52,4.62,0,0,0,4,5.16,5.36,5.02,5.18
444.38,4.46,0,0,0,4,5.22,5.41,5.07,5.23
449.31,2.51,0,0,0,4,5.13,5.23,4.95,5.1
472.56,0.71,37.56,4.77,197.58,5,5.4,6.89,5.61,5.97
470.27,1.12,99.45,2.83,226.2,3,6.09,6.36,5.93,6.13
462.41,0.29,111.68,3.25,293.23,15,5.4,5.25,5.02,5.22
547.35,0.56,82.34,3.94,170.26,5,6.1,6.85,5.79,6.25
467.89,0.95,129.93,3.89,236.98,0,6.53,7.04,6.22,6.6
528.53,1.6,146.43,3.97,250.55,2,6.84,7.19,6.38,6.8
299.78,0.85,55.01,1.31,90.49,2,5.06,5.16,4.77,5
316.3,1.32,49.82,1.31,97.72,2,5.1,5.28,4.9,5.09
233.57,0.3,31.22,0.67,90.18,2,4.55,4.6,4.47,4.54
388.51,0,115.99,2.54,259.13,0,6.04,6.1,5.92,6.02
682.02,1.3,163.36,5.94,329.15,15,6.79,7.27,6.12,6.73
400.41,0,112.37,3.31,298.47,1,5.99,6.35,6.03,6.13
464.86,2.44,50.75,1.07,119.77,10,5.28,5.12,4.94,5.11
563.71,1.65,91.26,2.26,256.47,13,5.81,5.6,5.56,5.66
559.93,1.95,91.53,2.68,244.27,14,5.76,5.68,5.43,5.62
310.96,1.95,0,0,0,2,4.67,4.81,4.53,4.67
620.56,4.18,0,0,0,8,5.66,5.7,5.4,5.58
871.67,4.9,30.06,1.04,57,15,6.55,6.5,6.05,6.37
270.27,3.04,0,0,0,2,4.56,4.76,4.45,4.59
338.44,1.3,0,0,0,1,4.8,4.95,4.69,4.82
511.26,0,83.16,1.98,157.24,4,5.99,5.99,5.64,5.87
385.3,2.13,8.57,0.62,25.65,5,4.87,5.08,4.68,4.88
387,1.05,8.31,0,30.41,4,4.88,4.83,4.71,4.81
427.15,3.01,6.19,0.27,53.79,5,5.06,5.2,5.02,5.09
280.36,2.45,0,0,0,1,4.63,4.84,4.54,4.67
279.96,4.3,0,0,0,1,4.73,5.02,4.67,4.81
517.24,0.04,83.32,1.98,153.93,4,6.02,6.02,5.66,5.9
429.71,1.54,52.86,1.43,179.11,5,5.41,5.51,5.43,5.45
329.77,2.91,27.43,0.86,77.84,4,4.92,5.12,4.81,4.95
481.02,2.74,30.64,1.39,106.47,5,5.48,5.82,5.43,5.58
776.86,0.1,177.02,6.22,431.43,10,7.54,8.12,7.27,7.64
902.58,4.23,147.78,6.12,344.83,23,7.21,7.74,6.56,7.17
772.05,1.54,96.67,4.69,484.14,15,6.57,7.17,7.12,6.95
454.51,0.83,37.77,0.83,146.11,8,5.16,5.01,5.07,5.08
454.15,0.71,38,0.83,143.62,8,5.15,5,5.05,5.07
481.86,1.51,32.69,0.83,122.67,8,5.26,5.19,5.14,5.2
210.05,0.72,28.53,0.27,51.17,0,4.58,4.59,4.43,4.53
279.15,0.22,92.2,1.98,159.39,3,5.22,5.18,4.83,5.08
283.6,0.19,92.42,1.98,158.95,3,5.23,5.2,4.84,5.09
400.24,2.12,17.48,0.53,147.16,3,5.13,5.3,5.4,5.28
444.21,0.5,14.82,0.25,39.41,3,5.2,5.2,5.03,5.14
288.53,0,60.81,1.64,116.32,0,5.14,5.36,4.95,5.15
445.05,0.93,49.72,3.59,238.18,0,5.72,6.83,6.13,6.23
810.84,0,63.14,1.95,191.45,5,6.95,7.08,6.89,6.97
500,0.28,101.12,4.93,320.25,0,6.37,7.5,6.63,6.83
478.84,2.55,83.77,1.98,151.99,4,6,6.12,5.68,5.93
501.58,1.9,110.98,3.25,186.08,4,6.3,6.63,5.86,6.27
709.73,4.19,85.25,2.68,237.25,7,6.85,7.19,6.79,6.94
214.27,1.33,30.27,0.67,65.8,0,4.64,4.82,4.55,4.67
420.85,1.53,48.46,1.67,148.69,0,5.64,6.05,5.72,5.8
479.8,0.76,38.14,0.97,77.55,0,5.74,5.94,5.61,5.77
464.21,0.18,66.39,1.01,189.33,2,5.78,5.64,5.78,5.73
515.41,0,137.21,5.02,195.2,5,6.43,7.09,5.72,6.41
590.6,2.74,118.96,3.94,223.14,3,6.84,7.44,6.51,6.93
901.76,1.59,59.71,2.66,239.29,18,6.57,6.62,6.39,6.53
871.15,3.94,113.42,5.44,296.74,24,6.7,7.23,6.13,6.68
1005.07,2.71,146.53,5.34,411,20,7.71,7.99,7.39,7.69
430.04,1.22,46.91,0.97,132.3,0,5.65,5.79,5.67,5.7
433.46,0.56,58.14,1.64,133.87,2,5.61,5.8,5.46,5.62
323.93,0.04,22.1,3.36,168.56,0,4.94,6.17,5.3,5.47
352.45,0.77,40.65,0.97,54.28,3,5.08,5.14,4.74,4.99
685.01,0.37,128.38,4.89,217.44,13,6.56,6.98,5.79,6.44
773.02,1.21,196.16,7.5,363.16,10,7.75,8.71,7.06,7.84
731.19,0.5,140.79,4.26,448.78,14,6.81,6.83,6.82,6.82
856.89,1.59,98.78,6.88,273.18,19,6.68,7.97,6.25,6.97
740.01,1.29,125.52,6.67,475.59,18,6.5,7.49,6.66,6.89
620.44,2.3,133.53,6.56,200.41,15,6.33,7.36,5.43,6.38
593.54,1.65,97.61,4.84,344.62,11,6.11,6.91,6.21,6.41
568.93,0,110.15,4.88,323.93,9,6.16,6.86,6.09,6.37
400.04,2.33,5.81,0,20.97,4,4.98,5.01,4.82,4.94
394.86,1.83,5.6,0,20.95,4,4.93,4.94,4.77,4.88
384.12,2.44,6.64,0,33.42,4,4.92,4.96,4.82,4.9
262.38,1.69,33.61,1.54,114.04,3,4.7,5.09,4.69,4.83
704.03,0.78,147.15,4.89,324.31,10,7.01,7.38,6.6,7
631.91,1.44,140.73,4.72,311.04,12,6.58,6.9,6.12,6.54
426.76,2.53,0,0,0,2,5.16,5.34,5.04,5.18
391.57,0.64,0,0,0,2,4.92,5,4.76,4.9
371.57,2,13.8,0.36,28.88,2,5.04,5.2,4.9,5.04
325.6,2.46,0,0,0,7,4.45,4.44,4.18,4.36
322.84,2.72,9.66,0,27.39,5,4.66,4.65,4.48,4.6
326.99,1.13,15.52,0,30.88,5,4.64,4.5,4.39,4.51
295.52,0.38,78.87,1.98,141.05,3,5.17,5.26,4.83,5.09
636.35,0.56,111.42,2.51,246.95,11,6.35,6.07,5.91,6.11
712.2,0.27,200.8,7.13,365.14,12,7.38,8.04,6.58,7.33
408.37,0,75.19,1.92,157.37,3,5.57,5.65,5.32,5.51
606.85,2.83,0,0,0,8,5.53,5.5,5.24,5.43
463.55,0.8,45.14,1.35,146,0,5.74,6.02,5.82,5.86
346.76,1.06,37.83,1.64,117.5,0,5.23,5.7,5.26,5.39
503.31,1.86,73.12,3.27,108.98,3,6.03,6.74,5.64,6.14
668.66,0.85,59.52,2.95,207.79,8,6.21,6.69,6.18,6.36
401.81,1.21,96.12,4.26,176.95,2,5.86,6.75,5.55,6.05
456.05,0.31,87.04,3.92,186.12,2,5.94,6.75,5.74,6.14
589.07,0,50.86,1.82,190.36,3,6.07,6.34,6.18,6.19
590.17,2.54,10.78,0,30.13,7,5.61,5.5,5.36,5.49
334.4,0,60.21,2.59,214.09,0,5.32,5.91,5.52,5.58
556.86,1.68,71.38,2.39,281.48,3,6.22,6.6,6.53,6.45
236.79,0,53.41,1.43,129.23,1,4.81,4.97,4.7,4.83
209.84,1.61,0,0,0,0,4.37,4.57,4.29,4.41
355.25,0.81,26.95,1.96,123.15,0,5.15,5.83,5.3,5.43
276.68,2.53,0,0,0,0,4.68,4.93,4.62,4.74
430.87,2.26,10.84,1.07,27.39,6,5.02,5.35,4.79,5.05
386.7,4.43,6.14,0.3,1.17,2,5.16,5.48,5.02,5.22
306.77,1.08,33.2,0.56,81.34,3,4.84,4.83,4.69,4.79
401.22,0.85,51.98,0.65,97.22,3,5.38,5.22,5.11,5.24
302.4,0.7,33.22,0.56,82.09,3,4.8,4.77,4.65,4.74
546.71,0,116.75,3.8,319.2,2,6.56,7.03,6.61,6.73
543.3,0,113.88,3.8,320.65,0,6.64,7.21,6.78,6.88
495.24,1,138.51,5.25,289.52,0,6.72,7.68,6.54,6.98
339.58,1.16,83.45,2.63,182.71,1,5.55,5.96,5.41,5.64
485.59,2.04,67.3,2.72,133.09,5,5.79,6.28,5.5,5.86
600.26,1.61,83.74,2.72,189.55,8,6.19,6.41,5.88,6.16
251.87,0.93,74.35,1.98,128.78,0,5.17,5.44,4.92,5.17
604.07,2.57,83.52,2.4,203.53,2,6.63,6.98,6.57,6.72
541.37,0.6,110.89,4.51,174.13,1,6.58,7.44,6.14,6.72
354.14,1.51,77.25,2.11,163.63,2,5.51,5.76,5.33,5.53
359.59,1.75,76.01,3.08,195.62,2,5.54,6.18,5.5,5.74
521.66,0.32,119.04,5.25,212.54,6,6.25,7.13,5.75,6.38
220.48,1.27,8.77,0,28.88,2,4.35,4.38,4.24,4.32
442.93,0.79,107.88,2.64,193.41,1,6.17,6.34,5.84,6.12
566.54,0.46,104.43,3.18,238.26,4,6.43,6.72,6.22,6.46
474.13,0.54,50.55,1.62,111.8,4,5.58,5.76,5.35,5.56
522.3,0.46,77.1,2.31,205.37,2,6.13,6.4,6.09,6.21
547.37,0.38,48.98,2.33,196.43,3,5.91,6.4,6.06,6.12
601.26,1.49,138.05,3.96,301.55,6,6.8,7.07,6.51,6.8
698.69,3.78,178.97,5.16,292.33,17,7.01,7.09,6.04,6.71
845.11,0.74,222.17,8.85,434.72,13,8.07,9.19,7.33,8.2
511.94,2.49,81.07,2.32,184.24,0,6.35,6.76,6.29,6.47
578.26,0.45,62.69,1.22,191.98,6,5.98,5.82,5.9,5.9
611.09,2.01,59.63,2.28,122.55,5,6.23,6.61,5.96,6.27
410.93,3.48,2.99,0,14.33,4,5.06,5.17,4.92,5.05
452.92,2.46,0,0,0,4,5.14,5.24,4.96,5.11
415.99,1.71,16,0,41.83,4,5.1,5.02,4.92,5.01
265.04,1.54,0,0,0,3,4.4,4.49,4.23,4.37
218.08,0.4,0,0,0,3,4.15,4.19,3.96,4.1
212.35,2.51,0,0,0,3,4.24,4.38,4.09,4.24
253.98,1,73.9,1.98,127.84,0,5.18,5.45,4.93,5.18
253.34,0.88,74.12,1.98,129.25,0,5.17,5.44,4.92,5.18
563.36,0.67,69.25,3.64,205.55,1,6.29,7.2,6.36,6.62
316.2,0.95,88.44,1.98,168.84,4,5.31,5.31,4.98,5.2
496.3,2.4,113.58,3.85,185.69,6,6.21,6.7,5.69,6.2
549.31,0.68,109.65,1.98,229.12,0,6.66,6.6,6.49,6.58
274.35,0.77,0,0,0,0,4.58,4.74,4.48,4.6
392.49,1.13,25.62,0.55,39.86,3,5.12,5.17,4.87,5.05
445.23,0.7,27.6,0.38,65.18,4,5.26,5.18,5.06,5.17
725.81,1.14,123.2,4.58,304.26,8,7.03,7.58,6.81,7.14
624.24,1,76.5,2.49,259.92,7,6.25,6.45,6.31,6.34
635.05,0.21,114.31,3.31,342.23,9,6.47,6.54,6.44,6.48
380.5,0.99,28.32,0.63,29.84,2,5.15,5.24,4.86,5.08
389.18,2.98,0,0,0,2,5.04,5.23,4.92,5.06
367.3,2.72,0,0,0,2,4.94,5.12,4.82,4.96
278.44,0.92,75.29,1.64,126.27,2,5.16,5.22,4.83,5.07
260.69,0.29,42.54,0.97,98.7,0,4.88,5.01,4.79,4.89
268.4,0.25,28.99,0.63,49.82,0,4.79,4.91,4.62,4.77
868.44,2.1,98.65,3.97,255.14,24,6.45,6.46,5.82,6.24
584.78,1.1,138.97,3.96,265.79,6,6.72,6.97,6.27,6.65
474.06,0.18,112.69,2.24,185.96,0,6.36,6.35,5.98,6.23
377.32,0,70.88,2.84,203.81,4,5.34,5.79,5.29,5.47
736.82,1.81,71.88,3.44,164.92,15,6.22,6.57,5.72,6.17
600.28,2.35,101.75,3.29,200.66,11,6.21,6.41,5.71,6.11
331.18,0,95.35,4.69,290.7,4,5.38,6.32,5.46,5.72
345.18,0,120.04,5.4,324.53,4,5.66,6.65,5.65,5.98
530.59,0.56,152.2,4.32,277.57,4,6.72,7.03,6.24,6.66
443.76,3.2,46.32,2.07,118.77,7,5.38,5.79,5.18,5.45
440.84,1.1,123.14,4.47,234.25,3,6.19,6.88,5.84,6.3
429.81,1.81,120.69,4.47,235.11,3,6.16,6.91,5.85,6.31
630.89,1.48,68.63,2,100.18,6,6.3,6.43,5.82,6.18
656.31,2.05,68.01,2,93.24,6,6.42,6.59,5.94,6.32
653.77,1.73,67.11,2,88.65,6,6.39,6.55,5.88,6.27
959.41,0.83,79.18,2.61,239.61,18,6.94,6.75,6.56,6.75
343.12,0.77,60.09,1.33,110.56,5,5.09,5.05,4.75,4.96
383.19,0.38,21.55,0.25,104.33,5,4.88,4.75,4.86,4.83
427.69,2.43,32.3,0.36,66.34,4,5.33,5.27,5.12,5.24
557.05,2.98,0,0,0,6,5.46,5.51,5.23,5.4
786.16,3.83,31.56,0.92,89.03,14,6.22,6.1,5.85,6.06
472.56,3.43,0,0,0,6,5.15,5.22,4.93,5.1
487.68,3.3,0,0,0,6,5.2,5.27,4.98,5.15
818.24,3.83,0,0,0,16,5.94,5.68,5.44,5.69
449.87,0.62,172.91,3.93,347.03,8,6.34,6.18,5.84,6.12
230.45,1.12,35.66,2.85,213.77,0,4.74,5.71,5.19,5.21
391.31,0,50.01,2.99,202.09,0,5.46,6.29,5.7,5.82
274.16,0.31,42.59,0.97,90.47,1,4.88,4.97,4.72,4.86
443.16,0,110.83,3.56,265.89,3,6.03,6.43,5.89,6.12
