X73_CC_12,X74_CN_12,X75_CO_12,X76_CS_12,X77_NC_12,X78_NN_12,X79_NO_12,X80_NS_12,X81_OC_12,X82_ON_12,X83_OO_12,X84_OS_12,X85_FC_12,X86_FN_12,X87_FO_12,X88_FS_12,X89_PC_12,X90_PN_12,X91_PO_12,X92_PS_12,X93_SC_12,X94_SN_12,X95_SO_12,X96_SS_12,X97_cC_12,X98_cN_12,X99_cO_12,X100_cS_12,X101_bC_12,X102_bN_12,X103_bO_12,X104_bS_12,X105_IC_12,X106_IN_12,X107_IO_12,X108_IS_12
773,226,171,6,287,78,61,2,681,182,150,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2699,876,727,2,372,114,96,0,2168,665,569,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5250,1615,1345,19,135,44,34,0,4056,1221,1033,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
946,261,210,8,264,77,58,2,748,209,158,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1210,333,257,12,316,85,68,2,533,151,115,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3072,744,655,33,370,100,78,5,577,165,120,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,579,503,4,175,49,46,1,1595,470,414,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1735,482,386,13,366,101,87,2,1030,290,229,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2253,642,555,7,714,211,189,0,1347,357,305,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
964,299,280,24,152,46,46,4,645,197,195,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
884,250,188,6,321,86,70,2,702,200,151,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3067,746,655,33,374,100,79,5,567,161,116,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2536,707,581,12,411,114,99,4,1438,385,331,7,0,0,0,0,356,98,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716,403,361,17,425,94,90,4,946,235,203,13,0,0,0,0,185,53,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2041,533,462,14,416,108,98,4,1473,391,329,8,0,0,0,0,363,96,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6123,1602,1367,43,697,195,156,4,557,149,121,2,198,50,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6738,1911,1646,28,1382,398,322,10,2237,611,519,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5078,1432,1164,28,969,276,231,4,1120,320,275,6,0,0,0,0,0,0,0,0,96,31,25,1,0,0,0,0,0,0,0,0,0,0,0,0
2253,583,482,21,832,202,181,10,1217,356,307,4,0,0,0,0,344,104,95,1,178,41,37,4,0,0,0,0,0,0,0,0,0,0,0,0
2254,571,477,22,824,203,179,10,671,201,159,7,0,0,0,0,188,58,45,2,168,42,36,3,0,0,0,0,0,0,0,0,0,0,0,0
2260,581,483,21,836,199,179,10,1226,363,315,4,0,0,0,0,350,104,90,1,176,41,37,4,0,0,0,0,0,0,0,0,0,0,0,0
886,193,173,4,0,0,0,0,873,178,181,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1939,426,405,19,0,0,0,0,449,99,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1934,427,406,19,0,0,0,0,448,97,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1906,452,416,8,855,186,180,8,416,89,91,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2437,584,509,21,1206,285,250,10,204,38,43,2,0,0,0,0,0,0,0,0,189,51,40,1,0,0,0,0,0,0,0,0,0,0,0,0
1701,382,373,18,641,123,132,4,225,50,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2633,730,581,20,645,183,149,4,180,50,35,1,0,0,0,0,0,0,0,0,0,0,0,0,209,45,50,3,0,0,0,0,0,0,0,0
5728,1574,1320,31,1317,365,304,13,655,189,156,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3458,996,813,20,688,199,169,4,205,59,49,1,0,0,0,0,0,0,0,0,0,0,0,0,344,106,94,0,0,0,0,0,0,0,0,0
2904,733,664,21,560,165,141,0,394,105,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3733,943,846,25,569,160,147,0,383,102,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5141,1344,1171,36,1227,331,273,8,484,129,105,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1057,222,237,12,0,0,0,0,429,78,88,2,0,0,0,0,0,0,0,0,216,51,43,2,0,0,0,0,0,0,0,0,0,0,0,0
2131,529,472,20,196,52,40,3,659,176,140,8,0,0,0,0,0,0,0,0,359,101,81,4,206,41,42,3,0,0,0,0,0,0,0,0
2176,554,466,21,194,55,40,3,1294,320,269,10,0,0,0,0,0,0,0,0,301,84,64,2,0,0,0,0,0,0,0,0,0,0,0,0
2717,658,582,24,534,129,118,4,194,53,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3994,1061,922,29,550,153,131,2,342,101,86,2,0,0,0,0,0,0,0,0,182,52,46,1,0,0,0,0,206,39,45,1,0,0,0,0
5341,1377,1212,26,334,102,87,1,1178,296,254,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4915,1475,1247,23,1705,525,438,5,1911,557,477,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7119,2026,1772,30,1959,581,513,4,1966,533,480,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7181,2085,1760,22,1599,461,409,7,2017,554,490,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2797,651,609,20,203,56,45,3,1254,289,270,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3545,879,780,27,420,110,92,2,520,147,125,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1846,452,379,17,597,160,131,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855,196,188,6,0,0,0,0
2013,497,446,25,215,48,43,2,877,238,194,9,0,0,0,0,0,0,0,0,215,55,44,1,0,0,0,0,0,0,0,0,0,0,0,0
5036,1374,1188,23,620,166,143,3,1400,428,364,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6502,1867,1588,22,456,143,118,1,1431,418,344,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5041,1397,1202,28,695,204,174,2,869,246,201,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6891,2003,1677,35,1759,496,422,8,1413,394,332,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5663,1647,1399,26,850,259,206,2,1583,435,368,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5024,1342,1142,30,585,165,142,2,1474,381,330,10,0,0,0,0,163,41,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4221,1209,978,16,668,197,161,3,781,224,184,4,327,86,71,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4897,1420,1179,32,720,206,172,3,1332,406,330,4,0,0,0,0,113,40,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,452,417,13,636,136,142,8,1388,347,331,4,0,0,0,0,185,53,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,447,418,13,432,88,90,4,1601,395,388,7,0,0,0,0,185,53,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720,446,374,15,632,150,141,7,1103,295,235,7,0,0,0,0,125,37,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1288,291,272,13,430,90,87,2,426,78,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5021,1367,1186,34,588,159,136,2,934,232,213,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4326,1203,1029,24,548,161,133,2,1255,355,303,4,0,0,0,0,170,47,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1895,493,418,19,206,48,52,3,1278,320,262,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769,514,428,7,289,82,67,2,1412,409,340,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1899,490,414,18,210,47,49,3,1071,276,222,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1187,296,258,14,413,105,92,4,1550,368,328,13,0,0,0,0,391,91,76,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110,324,282,1,365,111,95,0,1296,367,327,3,0,0,0,0,180,54,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110,325,283,1,195,62,49,0,1468,417,373,3,0,0,0,0,184,54,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1926,426,401,19,0,0,0,0,660,142,131,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4183,1107,974,30,343,92,82,2,1408,407,333,9,0,0,0,0,171,50,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5694,1497,1313,38,411,115,106,1,1441,378,323,7,0,0,0,0,185,49,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2513,631,572,14,1052,222,225,10,226,51,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1617,455,370,7,805,216,175,6,2293,674,571,4,0,0,0,0,560,162,145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2781,717,642,24,1154,311,255,6,440,86,81,2,0,0,0,0,0,0,0,0,166,50,49,1,0,0,0,0,0,0,0,0,0,0,0,0
2807,646,602,21,627,161,142,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4246,1169,1003,35,700,202,169,2,905,226,199,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3974,1064,908,24,1550,450,381,9,562,147,127,6,410,101,94,7,0,0,0,0,0,0,0,0,333,92,75,1,0,0,0,0,0,0,0,0
3858,996,861,35,564,161,141,3,351,90,72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3872,1001,862,35,779,214,188,4,139,37,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5203,1376,1193,35,728,194,169,3,774,194,172,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2515,707,594,11,1115,321,285,4,782,224,170,4,0,0,0,0,0,0,0,0,172,48,35,1,0,0,0,0,0,0,0,0,0,0,0,0
2043,541,438,19,557,164,116,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,96,94,6,0,0,0,0,0,0,0,0
3726,917,804,34,575,139,112,3,211,44,47,3,0,0,0,0,0,0,0,0,0,0,0,0,109,35,30,1,0,0,0,0,0,0,0,0
1162,338,289,1,178,45,48,0,412,110,99,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
581,163,171,12,396,104,116,8,383,109,109,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2126,499,448,18,215,52,43,1,636,140,141,3,0,0,0,0,0,0,0,0,0,0,0,0,405,102,93,6,0,0,0,0,0,0,0,0
913,270,232,0,734,212,190,0,160,48,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1859,470,419,24,837,227,187,10,778,161,155,5,417,89,95,7,212,42,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2098,537,446,18,821,200,173,7,671,172,149,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1517,338,309,12,425,98,87,2,829,186,177,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2135,500,448,19,643,137,136,6,856,192,186,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1516,337,317,13,420,92,88,4,859,207,183,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4949,1292,1108,32,0,0,0,0,586,125,132,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5262,1317,1197,35,185,54,41,1,512,142,134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4877,1243,1107,33,0,0,0,0,532,153,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2250,567,503,28,171,48,37,1,583,164,120,4,0,0,0,0,0,0,0,0,173,47,37,1,0,0,0,0,0,0,0,0,0,0,0,0
3065,867,732,18,361,110,90,1,1519,430,359,8,0,0,0,0,0,0,0,0,158,43,34,1,0,0,0,0,0,0,0,0,0,0,0,0
3813,1032,892,26,590,169,139,1,1879,478,434,18,0,0,0,0,0,0,0,0,169,54,43,0,0,0,0,0,0,0,0,0,0,0,0,0
1488,328,325,17,412,78,88,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3683,992,856,8,842,190,190,6,374,117,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4377,1174,1014,22,1336,349,299,10,176,59,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2803,750,611,27,0,0,0,0,488,128,110,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3119,815,685,30,0,0,0,0,504,135,111,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4859,1353,1125,32,120,39,34,0,762,207,172,5,0,0,0,0,0,0,0,0,108,35,25,1,0,0,0,0,0,0,0,0,0,0,0,0
936,266,236,0,537,149,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2948,684,606,21,133,41,30,1,914,236,205,9,0,0,0,0,0,0,0,0,158,43,37,1,0,0,0,0,0,0,0,0,0,0,0,0
3966,975,898,28,595,149,133,3,553,163,135,0,0,0,0,0,0,0,0,0,175,57,42,0,0,0,0,0,0,0,0,0,0,0,0,0
4082,1107,952,15,901,241,200,3,406,113,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3807,1006,883,28,777,178,171,7,464,127,101,6,0,0,0,0,0,0,0,0,314,90,72,2,176,49,48,0,0,0,0,0,0,0,0,0
3713,1088,880,20,760,229,194,3,643,183,150,4,0,0,0,0,0,0,0,0,119,37,27,1,551,144,131,4,0,0,0,0,0,0,0,0
3664,981,848,26,618,170,135,4,543,148,129,3,0,0,0,0,0,0,0,0,220,74,61,2,0,0,0,0,0,0,0,0,0,0,0,0
4744,1219,1078,26,1038,302,243,4,501,143,142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7464,2031,1730,46,508,150,129,1,684,229,179,2,215,50,49,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3510,885,809,21,1175,317,272,3,211,55,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3862,1025,871,27,612,132,135,6,790,230,186,7,163,46,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4267,1240,1050,14,919,258,204,2,1188,327,262,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1723,492,424,6,408,110,101,1,1554,435,367,6,0,0,0,0,159,43,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1801,528,443,6,731,222,200,1,1556,430,358,12,0,0,0,0,180,46,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1649,440,363,13,398,108,84,4,1605,431,353,12,0,0,0,0,116,37,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,118,87,3,0,0,0,0,1053,284,224,11,0,0,0,0,171,44,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,83,68,2,0,0,0,0,813,226,177,8,0,0,0,0,119,37,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,109,113,8,200,56,60,4,1153,307,330,23,0,0,0,0,193,50,55,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1489,322,322,15,410,78,89,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1484,329,321,15,411,78,89,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4224,1134,960,28,585,177,144,2,477,133,106,7,0,0,0,0,0,0,0,0,189,53,41,3,203,35,45,1,0,0,0,0,0,0,0,0
2148,478,448,20,216,51,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3936,1024,892,28,786,186,171,5,812,240,189,4,0,0,0,0,0,0,0,0,175,57,48,1,0,0,0,0,0,0,0,0,0,0,0,0
4184,1117,978,22,490,151,141,1,210,57,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
906,277,232,0,900,263,229,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2349,595,512,20,839,186,187,10,511,133,109,7,0,0,0,0,0,0,0,0,175,46,41,1,0,0,0,0,0,0,0,0,0,0,0,0
2652,689,621,8,1069,239,234,6,168,47,45,1,0,0,0,0,0,0,0,0,177,53,45,0,0,0,0,0,0,0,0,0,0,0,0,0
4769,1304,1153,33,694,197,175,3,541,152,128,2,488,158,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4115,1090,965,28,734,204,182,3,530,145,124,2,632,167,154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4144,1109,972,26,706,206,175,2,530,155,129,2,598,161,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2120,539,461,21,845,199,182,7,669,177,137,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1750,481,368,12,797,210,174,8,776,208,167,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2107,532,450,19,1034,253,225,12,655,176,139,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1690,387,358,17,0,0,0,0,650,149,125,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1482,336,323,17,0,0,0,0,598,141,132,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1264,293,278,15,215,42,45,2,824,189,172,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6019,1836,1524,18,1653,520,435,7,1583,484,388,10,0,0,0,0,0,0,0,0,330,82,74,1,0,0,0,0,0,0,0,0,0,0,0,0
4289,1120,951,27,803,208,198,5,378,112,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3805,1016,847,28,0,0,0,0,994,249,223,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2533,621,555,31,0,0,0,0,811,168,170,6,0,0,0,0,0,0,0,0,0,0,0,0,426,103,83,2,0,0,0,0,0,0,0,0
4158,1131,940,21,483,143,123,1,1814,481,409,5,0,0,0,0,0,0,0,0,162,43,38,1,418,94,96,6,0,0,0,0,0,0,0,0
4424,1185,1051,29,621,159,139,2,1133,279,243,8,0,0,0,0,0,0,0,0,172,52,40,1,0,0,0,0,0,0,0,0,0,0,0,0
2688,670,595,27,199,56,45,1,341,96,72,4,0,0,0,0,0,0,0,0,155,44,34,1,298,83,65,2,207,37,48,1,0,0,0,0
3000,799,699,19,204,58,51,1,182,51,42,1,0,0,0,0,0,0,0,0,0,0,0,0,552,156,140,3,0,0,0,0,0,0,0,0
4801,1268,1100,26,681,173,147,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2137,620,528,7,690,194,165,4,852,240,209,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3161,813,700,25,124,40,32,1,773,222,182,5,0,0,0,0,110,36,27,1,133,39,29,1,0,0,0,0,0,0,0,0,0,0,0,0
3241,795,704,28,134,42,31,1,823,217,192,7,0,0,0,0,115,35,29,1,148,43,34,1,0,0,0,0,0,0,0,0,0,0,0,0
3567,988,807,22,1125,310,252,9,1054,294,253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3742,1031,875,14,1238,368,305,5,1063,240,225,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3174,933,776,13,1279,367,288,12,938,263,237,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5761,1626,1412,27,1741,518,442,4,1707,527,457,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1949,483,417,20,354,97,76,5,590,119,124,6,0,0,0,0,0,0,0,0,185,50,37,1,0,0,0,0,0,0,0,0,0,0,0,0
1964,487,421,22,351,100,76,5,590,120,122,6,0,0,0,0,0,0,0,0,182,49,36,1,0,0,0,0,0,0,0,0,0,0,0,0
2753,720,621,23,525,147,127,5,1248,322,282,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,493,423,21,1059,237,224,10,1494,425,338,15,0,0,0,0,264,76,65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3414,980,835,15,1286,375,311,2,2779,847,687,11,0,0,0,0,499,163,128,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1865,485,396,16,1036,254,227,10,1173,356,284,9,0,0,0,0,202,64,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902,479,412,16,1046,248,232,10,1495,425,329,9,0,0,0,0,280,86,64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2819,890,754,5,1401,450,379,0,2516,820,648,12,0,0,0,0,492,172,132,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3993,987,856,32,0,0,0,0,413,110,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1297,290,256,8,0,0,0,0,209,41,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,142,142,5,0,0,0,0
2408,598,515,18,0,0,0,0,345,81,75,3,0,0,0,0,0,0,0,0,0,0,0,0,747,183,166,6,0,0,0,0,0,0,0,0
1688,378,366,20,0,0,0,0,631,130,136,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
