X1_lig_vol,X2_pock_vol,X3_nb_AS,X4_mean_as_ray,X5_mean_as_solv_acc,X6_apol_as_prop,X7_mean_loc_hyd_dens,X8_hydrophobicity_score,X9_volume_score,X10_polarity_score,X11_charge_score,X12_flex,X13_prop_polar_atm,X14_as_density,X15_as_max_dst,X16_ALA,X17_ARG,X18_ASN,X19_ASP,X20_CYS,X21_GLN,X22_GLU,X23_GLY,X24_HIS,X25_ILE,X26_LEU,X27_LYS,X28_MET,X29_PHE,X30_PRO,X31_SER,X32_THR,X33_TRP,X34_TYR,X35_VAL
151.97,811.99,37,4,0.6,0.41,12.4,38.93,4.07,3,2,62.85,32.08,5.78,13.86,0,0,0,0,1,0,0,1,2,2,1,0,1,0,3,0,0,1,0,2
406.58,1307.26,74,4.08,0.57,0.58,25.81,27.85,4.08,8,2,60.02,37,7.85,16.46,0,0,1,0,2,1,1,1,1,5,0,2,2,0,5,1,0,1,0,3
759.71,2386.79,116,3.99,0.58,0.47,23.93,36.84,4.16,14,3,57.9,37.74,10.88,23.77,3,0,2,1,3,1,1,1,3,8,1,2,3,1,6,1,0,3,0,4
146.55,591.38,33,3.95,0.59,0.45,13.6,36.14,4.07,3,0,61.61,31.25,4.99,12.97,0,0,0,0,1,0,1,1,1,2,1,0,1,0,3,0,0,1,0,2
153.95,756.16,36,4.08,0.59,0.44,14.5,41.31,4.08,2,1,62.11,32.65,5.11,12.46,0,0,0,0,1,0,0,1,1,2,1,0,1,0,3,0,0,1,0,2
250.36,713.88,50,3.81,0.56,0.68,28.18,53.61,4,1,0,54.56,26.09,5.83,14.47,1,0,0,0,3,0,0,1,0,5,1,0,1,0,3,0,0,1,0,2
232.94,1085.82,66,4.04,0.57,0.62,29.61,33.09,3.78,5,0,54.56,30,6.6,14.16,1,0,0,0,3,1,1,1,1,5,1,0,0,0,5,1,0,1,0,2
239.11,953,51,4.11,0.58,0.59,21.73,36.68,4.05,4,0,58.31,30.56,6.03,14.23,0,0,0,0,2,1,1,1,1,4,1,0,1,0,4,0,0,1,0,2
260.94,1112.22,76,3.97,0.55,0.7,32.57,37.36,3.88,5,0,54.47,30.61,7.01,15.97,1,0,0,0,3,1,1,1,1,6,1,0,1,0,5,1,0,1,0,2
134.27,708.94,29,3.82,0.49,0.55,12.88,9.38,4.81,10,4,54.29,37.78,5.91,13.05,1,4,1,0,0,1,2,0,1,0,0,1,1,1,1,0,0,0,0,2
150.32,769.43,40,4.01,0.59,0.47,17.68,44.08,4.08,1,0,61.18,30,5.44,13.34,0,0,0,0,1,0,0,1,0,2,1,0,1,0,3,0,0,1,0,2
242.7,804.71,50,3.81,0.56,0.68,28.18,53.61,4,1,0,55.18,26.76,5.83,14.47,1,0,0,0,3,0,0,1,0,5,1,0,1,0,3,0,0,1,0,2
277.03,927.01,68,3.94,0.54,0.69,30.6,44.79,3.92,5,0,52.58,26.74,6.72,13.65,1,0,0,0,4,1,1,1,1,6,1,0,1,0,3,1,0,1,0,2
177.75,701,48,3.89,0.56,0.79,30.79,59.47,4.06,1,0,52.46,23.44,5.56,13.62,1,0,0,0,3,0,0,1,0,5,1,0,1,0,2,0,0,1,0,2
246.3,1037.76,68,3.93,0.54,0.71,30.46,44.79,3.92,5,0,52.59,26.14,6.79,13.65,1,0,0,0,4,1,1,1,1,6,1,0,1,0,3,1,0,1,0,2
460.13,1262.59,84,3.88,0.54,0.7,31.83,38.7,3.89,7,2,54.07,25.45,7.57,18.3,1,0,0,0,4,1,1,1,3,6,1,0,1,0,4,1,0,1,0,2
690.43,1679.86,107,3.92,0.57,0.64,32.41,38.27,4,8,2,57.67,32.37,9.08,24.72,1,0,1,0,4,1,1,1,2,7,1,1,3,0,5,1,0,1,0,3
493.76,1782.92,94,3.99,0.56,0.59,31.05,43.21,3.96,6,1,55.04,31.58,8.23,19.27,1,0,0,0,4,1,1,1,2,7,1,0,2,0,4,1,0,1,0,2
292.88,1119.75,74,4.02,0.54,0.65,29.96,41.16,3.88,5,0,53.7,27.47,6.93,14.47,1,0,0,0,4,1,1,1,1,6,1,0,1,0,4,1,0,1,0,2
293.81,1397.96,62,3.93,0.58,0.55,26.35,44.1,3.95,4,1,56.92,31.71,8.04,20.52,1,0,0,1,3,0,0,1,2,5,1,0,1,0,3,0,0,1,0,2
290.9,1111.17,75,3.99,0.56,0.64,29.42,41.16,3.88,5,0,53.56,26.88,6.99,14.47,1,0,0,0,4,1,1,1,1,6,1,0,1,0,4,1,0,1,0,2
88.13,421.54,29,3.68,0.48,0.9,21.69,63.7,3.5,0,0,47.23,20.45,4.36,10.5,1,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2
123.25,419.54,30,3.66,0.51,0.9,22.81,69.42,3.75,0,0,48.81,19.15,4.46,11.3,1,0,0,0,3,0,0,1,0,4,1,0,0,0,0,0,0,0,0,2
121.76,480.23,31,3.68,0.51,0.9,23.86,71.69,3.85,0,0,49.08,18.75,4.49,11.3,1,0,0,0,3,0,0,1,0,5,1,0,0,0,0,0,0,0,0,2
164.14,825.11,51,3.83,0.52,0.88,29.02,43.55,3.73,5,1,50.27,21.62,6.23,14.43,1,0,0,0,4,1,1,1,2,6,1,0,0,0,2,1,0,0,0,2
229.23,838.49,52,3.85,0.56,0.77,30.5,52.7,4.05,2,0,52.76,26.67,5.91,15.48,1,0,0,0,3,1,0,1,0,6,1,0,1,0,3,0,0,1,0,2
131.44,526.21,35,3.64,0.51,0.91,23.44,56.38,3.81,2,2,49.8,16.67,5.31,13.57,1,0,0,0,3,0,0,1,2,5,1,0,0,0,1,0,0,0,0,2
257.04,1036.16,59,4.06,0.54,0.69,28.05,43.86,4.05,3,0,56.48,31.25,6.84,15.91,1,0,0,0,2,0,1,1,1,5,1,0,2,0,4,0,0,1,0,2
440.45,1297.62,84,3.91,0.55,0.67,31.25,37.81,3.85,5,0,53.96,29.09,7.37,16.11,1,0,0,0,4,1,1,1,1,6,1,0,1,0,5,1,0,1,0,2
298.73,1011.61,70,4,0.55,0.64,27.64,32.35,3.83,5,0,56.17,25.56,6.88,14.37,0,0,0,0,4,1,1,1,1,4,1,0,1,0,5,1,0,1,0,2
211.83,780.12,53,3.85,0.52,0.81,28.33,45.24,3.71,4,0,50.22,22.67,6.22,14.62,1,0,0,0,4,1,1,1,1,6,1,0,0,0,2,1,0,0,0,2
270.89,932.42,66,3.87,0.53,0.79,31.77,42.52,3.74,4,0,51.25,27.17,6.91,16.76,1,0,0,0,4,1,1,1,1,6,1,0,1,0,3,1,0,0,0,2
410.53,1272.39,78,3.97,0.55,0.65,30.59,41.16,3.88,5,0,54.58,28.43,7.21,17.53,1,0,0,0,4,1,1,1,1,6,1,0,1,0,4,1,0,1,0,2
98.62,393.29,29,3.66,0.52,0.9,22.15,69.42,3.75,0,0,49.34,17.78,4.34,11.01,1,0,0,0,3,0,0,1,0,4,1,0,0,0,0,0,0,0,0,2
215.17,793.98,49,3.91,0.57,0.71,28.17,46.76,4.1,4,0,53.92,27.14,5.89,14.42,1,0,0,0,2,1,1,1,1,6,1,0,1,0,3,0,0,1,0,2
247.61,753.16,50,3.89,0.55,0.7,29.03,53.61,4,1,0,55.18,26.76,5.86,14.47,1,0,0,0,3,0,0,1,0,5,1,0,1,0,3,0,0,1,0,2
208.49,827.67,52,3.85,0.56,0.69,26.06,49.05,4,3,2,53.7,23.94,6.36,18.11,1,0,0,0,3,0,0,1,2,5,1,0,1,0,3,0,0,1,0,2
311.07,1171.73,76,3.92,0.55,0.72,32.04,41.16,3.88,5,0,52.45,25.26,7.04,16.44,1,0,0,0,4,1,1,1,1,6,1,0,1,0,4,1,0,1,0,2
393.38,1207.55,82,3.9,0.56,0.7,32.7,41.16,3.88,5,0,51.77,25.96,7.3,19,1,0,0,0,4,1,1,1,1,6,1,0,1,0,4,1,0,1,0,2
673.67,2088.02,123,4.01,0.57,0.55,27.35,39.61,4.17,12,1,56.8,34.18,10.23,22.62,3,0,2,1,4,1,1,1,1,8,1,2,3,1,5,1,0,3,0,3
737.08,2397.84,134,3.94,0.57,0.58,26.23,41.83,4.29,13,2,55.61,32.18,10.92,27.16,3,0,1,1,4,1,1,1,2,8,1,2,3,1,5,1,0,4,0,3
748.34,2414.24,115,3.97,0.57,0.55,29.33,38.31,3.97,8,0,58.63,34.69,9.59,23,2,0,1,1,4,1,1,1,1,7,1,1,3,1,5,1,0,1,0,3
209.6,838.49,57,3.87,0.53,0.79,30.8,51.18,4.05,4,0,51.55,25.97,6.31,13.62,1,0,0,0,4,1,1,1,1,6,1,0,1,0,2,0,0,1,0,2
242.93,914.56,63,3.88,0.54,0.76,32.96,46.96,4,4,0,52.72,28.75,6.44,14.42,1,0,0,0,4,1,1,1,1,6,1,0,1,0,3,0,0,1,0,2
210.45,815.47,54,3.9,0.55,0.76,30.15,53.45,4.1,3,-1,52.09,24.32,6.1,13.62,1,0,0,0,3,1,1,1,0,6,1,0,1,0,2,0,0,1,0,2
174.87,812.57,49,3.9,0.56,0.73,31.06,48.71,4.05,3,-1,53.5,27.54,5.57,13.25,1,0,0,0,3,1,1,1,0,6,1,0,1,0,3,0,0,1,0,2
399.54,1843.32,87,3.95,0.55,0.62,31.56,36.19,3.9,7,0,54.78,32.17,8.72,23.21,2,0,0,1,4,1,1,1,1,6,1,1,1,1,5,1,0,1,0,3
601.38,1982.34,98,4.03,0.56,0.63,30.68,37.15,4,8,0,56.95,32.81,8.81,20.31,1,0,1,1,4,1,1,1,1,7,1,1,2,1,5,1,0,1,0,3
451.05,1286.38,86,3.94,0.54,0.63,32.41,40.11,3.93,5,0,54.24,29.46,7.52,17.71,1,0,0,0,4,1,1,1,1,6,1,0,1,1,5,1,0,1,0,2
765.76,2312.68,116,3.96,0.57,0.53,29.19,38.29,4.11,9,3,57.82,33.56,9.47,23.21,1,0,1,0,4,1,1,1,2,7,1,2,3,1,5,1,0,1,0,3
578.02,1905.6,105,3.94,0.57,0.64,32.39,42.12,4.03,6,1,56.22,32.84,8.89,19.8,2,0,0,0,4,1,1,1,1,7,1,1,3,1,5,1,0,1,0,2
476.44,1382.39,87,3.97,0.56,0.63,32.29,39.88,3.88,6,1,54.82,28.57,7.72,18.95,1,0,0,0,4,1,1,1,2,6,1,0,1,0,4,1,0,1,0,2
412.04,1313.81,84,3.95,0.55,0.67,33.89,39.15,3.89,5,0,54.65,29.36,7.35,16.23,1,0,0,0,4,1,1,1,1,6,1,0,2,0,5,1,0,1,0,2
482.66,1507.75,88,4.01,0.56,0.61,30.11,43.31,4,5,0,54.53,30.97,7.95,18.09,1,0,0,0,4,1,1,1,1,7,1,0,2,1,5,1,0,1,0,2
219.21,627.94,51,3.81,0.5,0.8,25.56,47.21,3.68,4,0,49.38,21.13,6.29,15.53,1,0,0,0,4,1,1,1,1,5,1,0,0,0,1,1,0,0,0,2
210.41,678.86,50,3.84,0.5,0.82,26,47.21,3.68,4,0,49.31,21.43,6.23,15.53,1,0,0,0,4,1,1,1,1,5,1,0,0,0,1,1,0,0,0,2
214.46,1089.92,60,4.03,0.57,0.62,28.16,42.67,3.95,3,0,55.89,29.87,6.51,16.21,1,0,0,0,3,0,1,1,1,5,1,0,1,0,4,0,0,1,0,2
130.18,488.43,32,3.64,0.5,0.91,21.66,56.79,3.71,1,1,49.69,18.37,5.12,12.85,1,0,0,0,3,0,0,1,1,4,1,0,0,0,1,0,0,0,0,2
380.43,1243.05,82,3.94,0.55,0.68,33.32,37.81,3.85,5,0,53.64,28.3,7.15,15.97,1,0,0,0,4,1,1,1,1,6,1,0,1,0,5,1,0,1,0,2
383.64,1234.27,79,3.95,0.57,0.68,32.19,37.81,3.85,5,0,54.13,29.25,7.26,15.91,1,0,0,0,4,1,1,1,1,6,1,0,1,0,5,1,0,1,0,2
206.81,694.15,49,3.85,0.57,0.73,29.11,53.61,4,1,0,53.64,25,5.88,16.33,1,0,0,0,3,0,0,1,0,5,1,0,1,0,3,0,0,1,0,2
223.91,1035.37,64,4.01,0.56,0.67,28,36.13,3.78,5,0,55.09,22.89,6.69,13.78,1,0,0,0,4,1,1,1,1,4,1,0,1,0,4,1,0,1,0,2
197.41,734.46,49,3.88,0.57,0.71,30.46,53.61,4,1,0,53.8,25.76,5.54,13.25,1,0,0,0,3,0,0,1,0,5,1,0,1,0,3,0,0,1,0,2
198.62,708.74,49,3.86,0.57,0.71,29.77,53.61,4,1,0,53.48,25.76,5.52,14.42,1,0,0,0,3,0,0,1,0,5,1,0,1,0,3,0,0,1,0,2
175.45,951.72,54,4.02,0.53,0.69,27.68,33.05,3.65,4,0,51.75,26.39,6.21,13.4,1,0,0,0,2,1,1,1,1,5,1,0,0,0,4,1,0,0,0,2
166.49,859.5,52,4.04,0.54,0.71,28,33.05,3.65,4,0,51.58,26.09,6.02,12.62,1,0,0,0,2,1,1,1,1,5,1,0,0,0,4,1,0,0,0,2
133.47,520.78,32,3.73,0.54,0.91,24.76,63.29,3.79,0,0,50.32,19.23,4.64,11.3,1,0,0,0,3,0,0,1,0,5,1,0,0,0,1,0,0,0,0,2
343.27,1188.07,79,3.95,0.57,0.7,34.25,41.16,3.88,5,0,53.72,27.45,7.01,14.69,1,0,0,0,4,1,1,1,1,6,1,0,1,0,4,1,0,1,0,2
452.83,1265.91,84,3.94,0.54,0.7,34.47,37.81,3.85,5,0,53.44,28.97,7.3,17.53,1,0,0,0,4,1,1,1,1,6,1,0,1,0,5,1,0,1,0,2
204.08,688,49,3.79,0.5,0.88,26.51,41.52,3.76,5,2,50.02,21.13,6.38,14.89,1,0,0,0,4,1,1,1,3,5,1,0,0,0,2,0,0,0,0,2
327.01,1120.36,72,3.95,0.57,0.65,30,33.09,3.78,5,0,54.55,28.89,6.92,15.66,1,0,0,0,3,1,1,1,1,5,1,0,0,0,5,1,0,1,0,2
242.57,987.61,66,3.89,0.55,0.74,30.53,44.79,3.92,5,0,51.75,25.58,6.77,14.76,1,0,0,0,4,1,1,1,1,6,1,0,1,0,3,1,0,1,0,2
179.42,691.24,49,3.78,0.5,0.88,26.98,46.5,3.8,3,0,50.22,21.62,6.12,13.65,1,0,0,0,4,1,1,1,1,5,1,0,1,0,2,0,0,0,0,2
347.77,1261.72,80,4,0.54,0.66,31.09,37.81,3.85,5,0,54.53,29.52,7.3,17.53,1,0,0,0,4,1,1,1,1,6,1,0,1,0,5,1,0,1,0,2
391.98,1271.24,77,3.94,0.56,0.64,29.63,37.81,3.85,5,0,54.71,29.59,7.15,14.76,1,0,0,0,4,1,1,1,1,6,1,0,1,0,5,1,0,1,0,2
256.13,1063.64,65,3.98,0.55,0.71,32.74,43.08,3.96,4,0,54.42,28.74,6.49,13.46,1,0,0,0,4,1,1,1,1,6,1,0,1,0,4,0,0,1,0,2
267,1100.8,66,4,0.57,0.68,31.6,43.08,3.96,4,0,54.79,29.21,6.66,16.38,1,0,0,0,4,1,1,1,1,6,1,0,1,0,4,0,0,1,0,2
353.34,1363.73,82,3.93,0.56,0.66,31.07,41.16,3.88,5,0,54.38,28.04,7.32,17.53,1,0,0,0,4,1,1,1,1,6,1,0,1,0,4,1,0,1,0,2
299.79,1169.19,71,3.99,0.56,0.62,28,34.79,3.83,5,0,55.63,26.67,6.78,14.37,1,0,0,0,3,1,1,1,1,5,1,0,1,0,5,1,0,1,0,2
213.81,864.74,49,3.87,0.56,0.65,26.81,53.88,4.06,1,0,56.38,28.57,6.23,17.35,1,0,0,0,2,0,0,1,0,5,1,0,1,0,3,0,0,1,0,2
296.11,942.17,60,3.88,0.57,0.68,27.07,46.24,4,4,2,55.17,26.19,6.99,18.53,1,0,0,0,3,1,0,1,2,5,1,0,1,0,3,0,0,1,0,2
110.58,569.49,35,3.95,0.52,0.74,22.62,37.64,3.57,4,0,48.45,19.57,4.61,9.47,1,0,0,0,2,1,1,1,1,4,0,0,0,0,1,1,0,0,0,1
83.56,198.76,21,3.43,0.46,0.33,5.71,41.27,4.73,6,4,46.85,41.94,3.83,8.27,1,3,1,0,1,1,0,0,1,1,0,0,1,2,0,0,0,0,0,3
181.84,774.57,53,3.81,0.53,0.79,28.43,57.45,4.05,2,0,51.59,23.94,6.29,13.62,1,0,0,0,4,1,0,1,0,6,1,0,1,0,2,0,0,1,0,2
102.04,508.97,30,3.95,0.53,0.7,19.71,21.77,3.31,4,0,49.63,27.5,3.93,10.43,1,0,0,0,2,1,1,1,1,2,0,0,0,0,2,1,0,0,0,1
242.48,958.11,60,4.04,0.55,0.63,24.68,42.67,3.95,3,0,55.77,28.05,6.77,17.01,1,0,0,0,3,0,1,1,1,5,1,0,1,0,4,0,0,1,0,2
215.65,964.56,54,3.95,0.57,0.67,28.22,42.83,4,4,0,54.97,27.63,5.97,14.47,1,0,0,0,3,1,1,1,1,6,1,0,1,0,4,0,0,1,0,2
151.32,725.43,49,3.82,0.57,0.8,30.15,56.61,4.06,2,1,51.9,24.62,5.73,14.23,1,0,0,0,3,0,0,1,1,5,1,0,1,0,2,0,0,1,0,2
184.58,644.15,47,3.86,0.54,0.81,30,59.47,4.06,1,0,51.78,25.4,5.71,13.19,1,0,0,0,3,0,0,1,0,5,1,0,1,0,2,0,0,1,0,2
157.8,630.67,47,3.83,0.55,0.74,26.17,66.06,4.12,1,0,51.66,24.19,5.82,13.62,1,0,0,0,3,0,0,1,0,5,1,0,1,0,1,0,0,1,0,2
312.02,1297.56,77,3.95,0.55,0.71,28.91,38.7,3.89,7,2,54.71,26.47,7.59,19.28,1,0,0,0,4,1,1,1,3,6,1,0,1,0,4,1,0,1,0,2
326.86,1182.8,78,3.93,0.54,0.74,34.34,37.81,3.85,5,0,52.11,28.16,7.17,19,1,0,0,0,4,1,1,1,1,6,1,0,1,0,5,1,0,1,0,2
298.31,1011.77,65,3.92,0.53,0.75,30.69,41.09,3.68,4,0,51.15,26.14,6.91,16.11,1,0,0,0,4,1,1,1,1,6,1,0,0,0,3,1,0,0,0,2
202.75,719.44,46,3.94,0.55,0.65,26,51.06,4,1,0,56.99,28.12,5.51,15.8,1,0,0,0,2,0,0,1,0,4,1,0,1,0,3,0,0,1,0,2
324.91,1132.8,72,3.95,0.57,0.62,29.6,38.75,3.83,5,0,54.45,25.84,6.96,15.72,1,0,0,0,4,1,1,1,1,5,1,0,1,0,4,1,0,1,0,2
368.73,1157.67,80,3.98,0.53,0.69,33.05,37.81,3.85,5,0,52.34,27.27,7.09,14.76,1,0,0,0,4,1,1,1,1,6,1,0,1,0,5,1,0,1,0,2
106.57,447.79,32,3.66,0.53,0.84,20.96,61.54,3.85,2,2,50.24,17.02,4.85,12.85,1,0,0,0,2,0,0,1,2,4,1,0,0,0,0,0,0,0,0,2
282.94,966.13,62,3.93,0.52,0.79,28.37,33.35,3.61,5,1,51.19,23.26,7.05,18.18,1,0,0,0,4,1,1,1,2,5,1,0,0,0,4,1,0,0,0,2
353.34,1419.53,82,3.95,0.53,0.66,32.44,40.21,3.82,5,1,52.64,29.13,7.92,21.45,2,0,0,0,4,1,1,1,1,6,1,1,1,1,4,1,0,0,0,3
213.1,936.33,49,4.05,0.55,0.69,26.53,39.37,3.95,3,0,57.48,26.87,5.91,13.42,1,0,0,0,2,0,1,1,1,4,1,0,1,0,4,0,0,1,0,2
234.03,883.06,52,4.03,0.56,0.69,29.83,39.86,4,4,0,56.05,28.38,6.02,13.46,1,0,0,0,2,1,1,1,1,5,1,0,1,0,4,0,0,1,0,2
403.03,1707.62,89,4.02,0.58,0.6,29.58,43.46,4.18,6,2,58.36,33.91,8.96,19.28,1,0,0,0,3,1,1,1,2,7,1,1,3,0,4,0,0,1,0,2
98.37,402.85,30,3.92,0.5,0.7,20,21.77,3.31,4,0,49.08,29.27,3.86,10.43,1,0,0,0,2,1,1,1,1,2,0,0,0,0,2,1,0,0,0,1
232.13,940.13,57,3.96,0.57,0.7,29.65,47.1,4,3,0,55.1,27.27,6.43,17.01,1,0,0,0,3,0,1,1,1,5,1,0,1,0,3,0,0,1,0,2
290.85,1093.28,68,3.86,0.55,0.78,31.32,43.32,3.92,6,1,51.47,25.29,7.1,17.74,1,0,0,0,4,1,1,1,2,6,1,0,1,0,3,1,0,1,0,2
331.06,1171.94,78,4.02,0.54,0.63,30.24,37.81,3.85,5,0,53.39,28.71,7.15,16.38,1,0,0,0,4,1,1,1,1,6,1,0,1,0,5,1,0,1,0,2
348.28,1188.62,86,3.95,0.55,0.65,30.07,37.61,3.89,8,3,53.82,25.45,7.83,18.79,1,0,0,0,4,1,1,1,4,6,1,0,1,0,4,1,0,1,0,2
386.36,1510.64,81,3.95,0.54,0.64,30,42.42,3.92,5,0,55.03,29.41,7.69,19.51,1,0,0,0,4,1,1,1,1,6,1,0,2,0,4,1,0,1,0,2
311.42,1329.2,77,4,0.55,0.61,28.72,44.79,3.92,5,0,54.94,28.57,7.23,17.09,1,0,0,0,4,1,1,1,1,6,1,0,1,0,3,1,0,1,0,2
396.98,1357.99,82,3.89,0.54,0.68,32.32,40.11,3.93,5,0,53.24,28.85,7.54,18.05,1,0,0,0,4,1,1,1,1,6,1,0,1,1,5,1,0,1,0,2
574.89,1610.04,90,3.95,0.55,0.63,31.4,39.15,3.89,5,0,54.23,30.7,7.87,20.21,1,0,0,0,4,1,1,1,1,6,1,0,2,0,5,1,0,1,0,2
260.56,917.2,57,3.87,0.54,0.75,27.07,45.24,3.71,4,0,50.26,22.08,6.73,17.39,1,0,0,0,4,1,1,1,1,6,1,0,0,0,2,1,0,0,0,2
342.41,1268.1,78,3.95,0.55,0.72,29.18,43.68,4.04,6,2,54.85,28.85,7.54,21.09,1,0,0,0,4,1,1,1,3,7,1,0,2,0,4,0,0,1,0,2
396.6,1667.03,95,3.99,0.57,0.64,30.46,43.21,4.07,6,1,56.33,30.08,8.53,21.47,1,0,0,0,4,1,1,1,1,7,1,1,3,0,4,1,0,1,0,2
219.45,994.58,68,3.96,0.55,0.65,28.32,40.83,3.92,5,0,51.83,26.51,6.75,13.65,1,0,0,0,3,1,1,1,1,6,1,0,1,0,4,1,0,1,0,2
239.1,1082.51,67,4,0.57,0.6,25.3,35.36,3.8,5,0,55.06,25.84,6.79,15.66,1,0,0,0,4,1,1,1,1,5,1,0,1,0,5,1,0,1,0,2
219.13,1221.26,60,4.07,0.57,0.57,25.47,41.38,4,5,1,56.39,31.33,6.75,16.15,1,0,0,0,3,1,1,1,2,6,1,0,1,0,4,0,0,1,0,2
121.88,603.29,30,4.04,0.6,0.5,13.6,41.31,4.08,2,1,61.74,31.11,4.29,11.65,0,0,0,0,1,0,0,1,1,2,1,0,1,0,3,0,0,1,0,2
100.71,549.61,28,4.08,0.61,0.43,11,36.23,4,3,2,63.2,37.5,4.83,12.13,0,0,0,0,1,0,0,1,2,2,1,0,0,0,3,0,0,1,0,2
110.95,313.41,27,3.41,0.45,0.37,6.2,33.33,4.61,7,5,45.29,37.5,5,12.42,2,4,1,0,1,1,0,0,1,1,0,0,1,2,1,0,0,0,0,3
110.79,464,32,3.7,0.52,0.91,23.03,60.64,3.79,2,2,49.93,16.33,4.83,13.14,1,0,0,0,3,0,0,1,2,4,1,0,0,0,0,0,0,0,0,2
111.53,432.62,32,3.68,0.53,0.84,20.96,61.54,3.85,2,2,50.24,17.02,4.87,13.14,1,0,0,0,2,0,0,1,2,4,1,0,0,0,0,0,0,0,0,2
372.36,1537.24,78,4.02,0.58,0.63,23.39,40.21,4.1,6,3,58.14,31.48,9.06,23.66,1,0,0,0,3,0,1,1,3,6,1,1,3,0,5,0,0,1,0,3
139.57,615.65,37,3.72,0.52,0.92,24.88,60.24,3.82,1,0,49.83,18.64,5.34,11.83,1,0,0,0,4,1,0,1,0,6,1,0,0,0,1,0,0,0,0,2
346.99,1204.21,77,3.97,0.54,0.69,32.57,41.16,3.88,5,0,53.45,26.26,7.11,17.01,1,0,0,0,4,1,1,1,1,6,1,0,1,0,4,1,0,1,0,2
279.46,1193.61,65,3.91,0.53,0.78,32.67,43.65,3.78,4,0,50.92,25.3,7.05,18.05,1,0,0,0,4,1,1,1,1,6,1,0,0,1,3,1,0,0,0,2
104.74,495.02,30,3.93,0.5,0.73,20.64,21.77,3.31,4,0,49.63,27.5,3.97,10.43,1,0,0,0,2,1,1,1,1,2,0,0,0,0,2,1,0,0,0,1
240.26,980.35,57,3.97,0.56,0.7,29.35,42.83,4,4,0,54.34,27.5,6.3,16.49,1,0,0,0,3,1,1,1,1,6,1,0,1,0,4,0,0,1,0,2
