X1_PCS,X1_PCS_Pharm,X2_sas_score,Y1_dsx_score,Y2_dsx_score_Pharm
-0.187,-0.096,-28.962,-276.403,-141.835
-0.201,-0.082,-21.929,-114.323,-46.809
-0.221,-0.117,-27.383,-115.88,-61.234
-0.219,-0.086,-17.832,-91.032,-36.316
-0.231,-0.107,-25.207,-93.429,-43.162
-0.196,-0.104,-29.576,-172.549,-91.647
-0.215,-0.111,-35.725,-219.629,-112.865
-0.222,-0.113,-31.423,-184.889,-94.673
-0.217,-0.106,-41.47,-282.108,-137.376
-0.205,-0.102,-26.837,-204.933,-101.954
-0.217,-0.11,-26.739,-213.668,-108.559
-0.231,-0.11,-23.291,-164.926,-78.704
-0.194,-0.095,-17.348,-162.393,-79.463
-0.194,-0.087,-17.305,-118.647,-53.032
-0.196,-0.086,-16.07,-121.937,-53.69
-0.208,-0.08,-21.843,-89.463,-34.368
-0.199,-0.102,-9.137,-65.197,-33.531
-0.223,-0.112,-35.22,-185.879,-93.027
-0.215,-0.105,-29.953,-167.697,-81.761
-0.226,-0.063,-14.544,-109.779,-30.447
-0.225,-0.066,-7.486,-88.532,-26.382
-0.228,-0.074,-19.42,-99.558,-32.259
-0.179,-0.096,-10.011,-83.185,-44.627
-0.153,-0.069,-6.887,-56.693,-25.504
-0.148,-0.067,-6.952,-54.296,-24.801
-0.208,-0.097,-12.827,-81.667,-38.061
-0.232,-0.105,-34.466,-163.283,-74.231
-0.204,-0.098,-28.497,-206.382,-98.785
-0.234,-0.117,-16.772,-124.704,-62.447
-0.151,-0.055,-10.363,-97.311,-35.594
-0.208,-0.097,-22.759,-112.828,-52.748
-0.244,-0.11,-17.617,-113.594,-51.203
-0.232,-0.109,-27.113,-169.471,-79.126
-0.216,-0.078,-27.324,-187.499,-68.485
-0.235,-0.113,-26.923,-128.239,-61.747
-0.234,-0.109,-28.353,-125,-58.025
-0.235,-0.108,-33.497,-184.34,-84.421
-0.214,-0.081,-26.183,-113.435,-42.937
-0.207,-0.085,-20.672,-83.863,-34.755
-0.217,-0.103,-20.863,-140.209,-67.138
-0.24,-0.128,-6.582,-54.756,-29.082
-0.162,-0.076,0.113,-45.915,-21.503
-0.206,-0.083,-20.391,-100.086,-40.553
-0.184,-0.073,-11.239,-51.202,-20.321
-0.222,-0.097,-23.723,-129.71,-56.28
-0.244,-0.096,-19.15,-106.577,-42
-0.194,-0.096,-11.18,-73.923,-36.733
-0.177,-0.092,-9.402,-92.064,-47.945
-0.206,-0.09,-13.784,-81.801,-35.585
-0.224,-0.106,-19.647,-143.861,-68.008
-0.213,-0.081,-28.2,-152.75,-58.852
-0.2,-0.083,-31.322,-153.014,-63.268
-0.218,-0.108,-20.732,-97.609,-48.405
-0.189,-0.088,-21.84,-126.463,-59.147
-0.177,-0.089,-21.736,-145.191,-72.878
-0.248,-0.12,-12.259,-74.683,-36.089
-0.211,-0.1,-21.263,-134.492,-63.855
-0.189,-0.104,-21.724,-139.099,-76.317
-0.26,-0.111,-15.604,-103.727,-44.486
-0.263,-0.112,-21.328,-116.955,-49.954
-0.233,-0.106,-31.046,-173.84,-79.028
-0.21,-0.094,-9.308,-50.51,-22.547
-0.206,-0.091,-18.692,-108.946,-48.774
-0.227,-0.101,-30.087,-164.748,-73.457
-0.237,-0.121,-12.922,-156.897,-80.26
-0.23,-0.114,-24.178,-163.59,-81.374
-0.195,-0.082,-31.102,-139.72,-59.547
-0.23,-0.104,-25.248,-140.575,-63.492
-0.23,-0.112,-30.271,-197.121,-96.124
-0.215,-0.103,-42.649,-241.669,-115.787
-0.214,-0.076,-28.578,-144.903,-51.727
-0.222,-0.105,-26.051,-149.969,-71.109
-0.184,-0.087,-26.469,-147.483,-69.944
-0.208,-0.075,-20.368,-101.39,-36.592
-0.22,-0.073,-18.394,-107.149,-35.471
-0.182,-0.072,-10.502,-79.734,-31.541
-0.141,-0.084,-8.803,-34.425,-20.511
-0.142,-0.086,-7.243,-29.297,-17.64
-0.119,-0.054,-2.254,-45.531,-20.944
-0.248,-0.122,-11.314,-73.17,-35.946
-0.244,-0.12,-11.483,-72.66,-35.816
-0.238,-0.128,-21.254,-169.718,-91.929
-0.255,-0.13,-14.847,-92.409,-47.149
-0.226,-0.108,-30.513,-157.332,-75.704
-0.222,-0.104,-25.531,-141.52,-66.517
-0.154,-0.07,-10.245,-43.061,-19.733
-0.231,-0.08,-22.875,-112.972,-39.37
-0.243,-0.104,-19.779,-135.333,-57.86
-0.241,-0.115,-29.508,-182.53,-87.446
-0.238,-0.118,-26.72,-172.69,-86.24
-0.235,-0.107,-28.042,-171.09,-77.922
-0.251,-0.101,-24.89,-117.022,-47.005
-0.206,-0.062,-16.398,-81.263,-24.301
-0.241,-0.088,-16.263,-116.871,-42.425
-0.219,-0.098,-14.832,-75.836,-33.884
-0.232,-0.1,-11.91,-73.195,-31.363
-0.237,-0.078,-13.199,-81.683,-26.837
-0.202,-0.094,-35.929,-243.498,-113.595
-0.201,-0.113,-10.61,-127.93,-72.26
-0.195,-0.087,-21.4,-104.885,-46.769
-0.206,-0.095,-18.312,-108.923,-50.08
-0.197,-0.092,-26.118,-175.579,-82.23
-0.2,-0.099,-32.268,-159.818,-79.442
-0.226,-0.096,-13.242,-114.456,-50.437
-0.229,-0.109,-21.014,-101.634,-48.588
-0.209,-0.109,-23.595,-135.79,-72.692
-0.23,-0.108,-12.432,-108.219,-51.12
-0.22,-0.106,-22.249,-124.103,-60.465
-0.205,-0.083,-31.247,-120.394,-48.956
-0.162,-0.078,-23.545,-124.26,-60.101
-0.188,-0.101,-20.498,-140.818,-76.124
-0.189,-0.104,-15.588,-136.631,-75.819
-0.216,-0.1,-33.286,-236.166,-108.955
-0.239,-0.107,-21.51,-103.889,-46.313
-0.237,-0.106,-20.869,-103.724,-46.58
-0.231,-0.095,-21.344,-120.291,-49.332
-0.209,-0.071,-20.124,-132.59,-45.079
-0.143,-0.049,-40.245,-139.352,-48.161
-0.213,-0.081,-25.782,-119.435,-45.175
-0.195,-0.085,-21.606,-108.278,-47.31
-0.171,-0.059,-30.671,-155.868,-53.723
-0.251,-0.13,-21.422,-141.14,-73.23
-0.222,-0.082,-9.278,-65.504,-24.855
-0.22,-0.065,-24.436,-101.016,-30.191
-0.23,-0.104,-15.217,-80.687,-36.445
-0.223,-0.105,-24.288,-112.429,-52.789
-0.207,-0.1,-29.404,-224.411,-108.627
-0.223,-0.102,-39.117,-225.426,-103.472
-0.219,-0.116,-27.742,-190.157,-100.557
-0.201,-0.086,-36.143,-213.247,-91.114
-0.201,-0.108,-21.628,-121.346,-65.478
-0.222,-0.094,-33.525,-180.298,-76.16
-0.219,-0.108,-31.427,-196.024,-97.004
-0.162,-0.11,-0.286,-38.904,-26.409
-0.16,-0.08,-13.354,-90.305,-44.982
-0.197,-0.094,-4.757,-141.312,-67.785
-0.218,-0.104,-21.101,-96.551,-46.078
-0.209,-0.079,-22.251,-99.22,-37.282
-0.203,-0.071,-17.886,-95.501,-33.561
-0.176,-0.074,-8.477,-78.009,-37.442
-0.212,-0.111,-11.711,-102.571,-53.688
-0.208,-0.111,-15.663,-100.862,-53.988
-0.183,-0.089,-18.139,-108.554,-53.128
-0.231,-0.121,-17.507,-113.509,-59.463
-0.235,-0.124,-20.386,-128.466,-67.987
-0.171,-0.08,-8.706,-57.518,-27.033
-0.211,-0.096,-13.366,-73.534,-35.115
-0.211,-0.096,-11.263,-54.316,-24.733
-0.238,-0.123,-11.234,-93.335,-48.078
-0.266,-0.138,-26.033,-185.877,-96.213
-0.22,-0.108,-6.652,-81.122,-39.834
-0.195,-0.098,-19.499,-102.291,-51.424
-0.222,-0.108,-16.587,-132.091,-64.275
-0.208,-0.099,-17.014,-121.379,-57.667
-0.196,-0.046,-12.499,-66.64,-16.108
-0.167,-0.033,-15.974,-122.07,-24.046
-0.208,-0.067,-32.464,-189.548,-61.207
-0.216,-0.05,-11.831,-63.696,-14.929
-0.236,-0.08,-16.137,-89.134,-30.254
-0.212,-0.084,-15.863,-119.374,-47.182
-0.185,-0.05,-15.02,-80.612,-21.8
-0.206,-0.072,-13.53,-88.633,-30.866
-0.169,-0.058,-12.913,-81.011,-28.056
-0.152,-0.046,-7.985,-51.675,-15.719
-0.199,-0.051,-10.477,-62.972,-16.56
-0.211,-0.085,-17.326,-119.696,-48.02
-0.224,-0.095,-19.929,-99.041,-42.343
-0.182,-0.085,-12.557,-63.996,-30.007
-0.133,-0.05,-18.371,-73.706,-27.813
-0.237,-0.122,-23.466,-193.317,-99.73
-0.222,-0.113,-27.178,-213.962,-109.261
-0.231,-0.123,-22.081,-187.683,-99.59
-0.207,-0.103,-16.547,-100.156,-49.761
-0.205,-0.107,-15.333,-98.767,-51.482
-0.204,-0.098,-17.633,-108.691,-51.996
-0.198,-0.083,-10.658,-50.037,-21
-0.223,-0.121,-9.117,-65.975,-35.746
-0.222,-0.123,-8.533,-66.507,-36.787
-0.182,-0.083,-11.628,-86.886,-39.399
-0.189,-0.066,-17.766,-99.228,-34.459
-0.225,-0.114,-7.744,-69.348,-35.176
-0.214,-0.083,-16.573,-101.797,-39.621
-0.212,-0.107,-14.11,-184.266,-93.977
-0.228,-0.108,-20.133,-116.989,-56.057
-0.214,-0.1,-16.903,-117.031,-54.572
-0.213,-0.099,-18.911,-117.869,-54.526
-0.225,-0.109,-27.162,-164.28,-79.638
-0.206,-0.101,-10.819,-50.374,-24.74
-0.189,-0.097,-14.442,-93.79,-48.865
-0.162,-0.077,-13.583,-94.877,-45.335
-0.199,-0.107,-8.72,-101.908,-54.738
-0.204,-0.096,-20.643,-115.117,-54.793
-0.224,-0.102,-23.651,-139.08,-63.506
-0.202,-0.1,-26.252,-194.227,-96.164
-0.218,-0.097,-31.637,-203.693,-90.755
-0.231,-0.11,-38.727,-239.039,-114.153
-0.199,-0.073,-17.151,-94.169,-36.065
-0.187,-0.08,-14.212,-88.64,-37.981
-0.188,-0.056,-6.754,-60.556,-19.224
-0.221,-0.111,-20.38,-84.14,-42.073
-0.202,-0.102,-25.562,-146.22,-73.943
-0.228,-0.118,-24.868,-170.685,-87.93
-0.241,-0.124,-22.11,-181.399,-93.265
-0.207,-0.101,-24.504,-190.006,-92.516
-0.251,-0.125,-22.761,-183.22,-91.586
-0.212,-0.099,-19.313,-137.9,-64.314
-0.221,-0.117,-14.506,-141.633,-74.978
-0.236,-0.129,-17.404,-127.426,-69.408
-0.218,-0.081,-14.069,-99.977,-37.019
-0.202,-0.078,-13.382,-92.874,-35.875
-0.213,-0.089,-13.471,-96.457,-40.09
-0.197,-0.085,-12.213,-57.785,-25.389
-0.21,-0.109,-26.546,-159.315,-82.331
-0.232,-0.116,-24.019,-152.543,-76.738
-0.17,-0.036,-14.956,-82.678,-17.756
-0.225,-0.071,-14.669,-94.052,-30.189
-0.226,-0.07,-18.044,-89.082,-27.766
-0.154,-0.059,-13.465,-57.16,-21.812
-0.201,-0.088,-17.445,-75.832,-33.273
-0.167,-0.072,-12.401,-65.701,-28.405
-0.217,-0.108,-10.617,-67.536,-33.551
-0.207,-0.105,-20.494,-149.656,-76.122
-0.237,-0.119,-27.59,-169.887,-85.678
-0.214,-0.096,-11.003,-93.256,-41.972
-0.185,-0.064,-23.466,-135.415,-46.657
-0.2,-0.074,-17.991,-101.004,-38.87
-0.229,-0.106,-13.839,-93.493,-43.177
-0.246,-0.103,-22.297,-125.135,-52.251
-0.205,-0.08,-23.798,-154.43,-60.936
-0.185,-0.104,-3.857,-71.568,-40.222
-0.191,-0.1,-4.529,-93.607,-49.084
-0.215,-0.088,-13.931,-130.534,-53.502
-0.199,-0.077,-21.212,-140.732,-54.221
-0.19,-0.079,-5.494,-69.358,-29.524
-0.185,-0.087,-8.093,-111.773,-52.991
-0.207,-0.112,-8.737,-52.546,-28.537
-0.209,-0.086,-10.442,-54.776,-22.558
-0.182,-0.084,-14.359,-70.398,-33.143
-0.194,-0.078,-11.089,-62.891,-25.122
-0.212,-0.083,-19.056,-102.205,-40.021
-0.212,-0.087,-15.098,-88.244,-36.036
-0.188,-0.078,-14.689,-65.365,-27.02
-0.206,-0.102,-14.96,-93.358,-46.217
-0.196,-0.083,-14.936,-67.133,-28.613
-0.222,-0.107,-15.682,-127.497,-61.704
-0.232,-0.104,-18.438,-128.908,-58.571
-0.228,-0.123,-16.473,-109.738,-59.446
-0.231,-0.107,-16.121,-83.865,-38.814
-0.216,-0.101,-23.446,-119.404,-55.495
-0.22,-0.113,-27.877,-146.997,-75.477
-0.218,-0.111,-6.863,-61.685,-31.308
-0.221,-0.095,-22.755,-159.281,-68.137
-0.208,-0.099,-17.59,-114.78,-54.428
-0.248,-0.117,-11.014,-84.897,-40.03
-0.247,-0.121,-11.089,-85.623,-41.926
-0.199,-0.095,-16.519,-108.395,-51.586
-0.226,-0.092,-11.79,-54.717,-22.28
-0.178,-0.083,-12.881,-90.072,-42.482
-0.219,-0.102,-23.141,-140.441,-65.615
-0.239,-0.108,-16.771,-116.164,-52.685
-0.21,-0.1,-19.231,-117.373,-55.739
-0.194,-0.087,-2.655,-117.093,-53.42
-0.211,-0.09,-24.072,-136.25,-58.162
-0.236,-0.122,-21.196,-176.136,-91.666
-0.235,-0.125,-28.631,-202.87,-108.024
-0.218,-0.095,-15.815,-129.386,-56.671
-0.219,-0.091,-19.025,-136.21,-56.626
-0.205,-0.087,-26.222,-138.922,-58.852
-0.198,-0.068,-17.456,-96.516,-33.341
-0.179,-0.051,-17.377,-94.268,-26.785
-0.206,-0.087,-18.849,-99.726,-42.292
-0.177,-0.054,-14.001,-55.191,-16.885
-0.179,-0.069,-9.403,-46.784,-17.952
-0.148,-0.049,-9.336,-37.33,-12.603
-0.22,-0.118,-6.73,-62.762,-33.607
-0.217,-0.108,-6.669,-61.385,-30.449
-0.247,-0.132,-20.827,-147.611,-79.055
-0.225,-0.12,-9.422,-75.491,-40.052
-0.231,-0.114,-24.671,-122.443,-60.43
-0.216,-0.103,-17.629,-128.994,-61.129
-0.202,-0.087,-8.505,-62.069,-26.661
-0.218,-0.096,-16.194,-87.673,-38.723
-0.219,-0.085,-17.538,-103.131,-39.749
-0.217,-0.113,-19.646,-178.103,-94.061
-0.232,-0.121,-15.66,-152.648,-79.604
-0.227,-0.104,-19.864,-157.627,-72.424
-0.226,-0.087,-21.922,-94.238,-36.454
-0.202,-0.07,-13.402,-86.858,-30.093
-0.19,-0.064,-10.608,-76.731,-26.051
-0.204,-0.097,-12.531,-63.138,-29.932
-0.211,-0.09,-11.635,-61.103,-26.006
-0.218,-0.092,-13.099,-65.663,-27.906
-0.174,-0.089,-15.577,-160.594,-82.586
-0.208,-0.118,-18.717,-128.825,-73.819
-0.215,-0.094,-14.712,-114.92,-50.071
-0.206,-0.11,-10.398,-83.75,-44.929
-0.192,-0.083,-34.077,-159.019,-68.81
-0.178,-0.096,-13.043,-116.226,-62.966
-0.264,-0.103,-16.722,-74.945,-30.256
-0.268,-0.123,-16.371,-82.658,-38.284
-0.226,-0.114,-9.314,-122.365,-62.086
-0.203,-0.07,-20.666,-103.616,-35.989
-0.236,-0.111,-21.31,-105.45,-49.362
-0.251,-0.12,-23.334,-108.131,-51.807
-0.201,-0.093,-26.826,-140.742,-65
-0.209,-0.111,-24.467,-149.866,-79.701
-0.209,-0.113,-24.235,-148.832,-80.723
-0.217,-0.101,-36.063,-222.825,-103.631
-0.197,-0.087,-11.743,-71.329,-31.435
-0.169,-0.083,-7.719,-73.648,-36.221
-0.233,-0.104,-16.387,-107.152,-47.818
-0.181,-0.062,-22.371,-123.321,-42.102
-0.193,-0.068,-44.533,-178.142,-62.974
-0.213,-0.086,-22.805,-107.01,-43.26
-0.188,-0.073,-20.232,-106.004,-40.87
-0.22,-0.08,-39.755,-203.012,-73.399
-0.259,-0.143,-15.208,-106.623,-58.914
-0.212,-0.053,-7.356,-48.787,-13.388
-0.194,-0.072,-8.784,-82.586,-31.956
-0.216,-0.098,-10.69,-63.545,-28.839
-0.247,-0.137,-14.426,-110.398,-61.117
-0.223,-0.118,-19.149,-194.435,-104.609
-0.24,-0.117,-33.727,-195.098,-95.609
-0.232,-0.11,-31.121,-179.968,-85.449
-0.209,-0.098,-33.458,-173.971,-81.436
-0.18,-0.08,-25.34,-114.505,-50.736
-0.256,-0.115,-26.805,-167.78,-75.862
-0.222,-0.117,-19.367,-176.896,-92.978
-0.19,-0.094,-7.398,-41.34,-20.483
-0.186,-0.099,-10.496,-80.917,-43.197
-0.248,-0.103,-25.119,-149.8,-62.555
-0.193,-0.08,-16.656,-94.585,-39.214
-0.204,-0.066,-21.229,-99.742,-32.365
-0.182,-0.046,-18.403,-88.852,-22.651
-0.117,-0.03,-9.625,-54.087,-15.997
-0.182,-0.099,-5.133,-75.697,-41.178
-0.237,-0.109,-26.813,-110.548,-50.858
-0.115,-0.042,-20.951,-80.106,-29.813
-0.164,-0.069,-23.781,-99.153,-42.314
-0.151,-0.07,-19.809,-90.737,-43.09
-0.181,-0.073,-12.889,-76.081,-30.801
-0.197,-0.09,-17.199,-87.362,-41.333
-0.252,-0.108,-18.991,-78.545,-33.847
-0.216,-0.122,-9.723,-67.516,-38.32
-0.159,-0.082,-10.417,-132.776,-68.099
-0.192,-0.121,3.616,-64.586,-41.11
-0.195,-0.09,-24.406,-105.499,-48.705
-0.188,-0.087,-17.474,-118.922,-54.663
-0.183,-0.082,-18.622,-113.974,-50.734
-0.211,-0.081,-15.338,-61.27,-23.77
-0.099,0.017,-21.253,-89.151,15.629
0.155,0.208,-24.394,262.972,354.529
-0.199,-0.081,-12.201,-60.527,-24.909
-0.233,-0.07,-10.153,-60.596,-18.172
-0.24,-0.087,-30.172,-130.768,-47.638
-0.18,-0.066,-10.768,-83.729,-30.632
-0.193,-0.085,-10.765,-85.415,-37.787
-0.185,-0.057,-19.317,-75.651,-23.32
-0.235,-0.072,-10.446,-54.957,-16.939
-0.223,-0.073,-10.623,-60.823,-20.034
-0.24,-0.083,-30.96,-132.36,-45.778
-0.103,-0.032,-9.082,-45.255,-14.201
-0.11,-0.068,-1.437,-29.595,-18.458
-0.154,-0.08,-7.188,-67.103,-35.088
-0.084,-0.021,-23.274,-76.061,-19.149
0.118,0.128,-25.773,206.66,224.306
-0.014,0.044,-26.242,-15.45,47.67
-0.143,-0.086,-2.812,-73.224,-43.989
-0.153,-0.077,-9.764,-90.056,-45.31
-0.143,-0.073,-5.164,-83.482,-42.679
-0.199,-0.086,-17.132,-55.594,-24.189
-0.241,-0.121,-19.453,-85.475,-42.686
-0.241,-0.121,-19.701,-85.779,-43.011
-0.201,-0.097,-16.899,-78.622,-38.108
-0.164,-0.062,-1.46,-62.906,-23.654
-0.191,-0.084,-7.928,-50.792,-22.254
-0.204,-0.087,-22.852,-119.528,-51.432
-0.061,0.003,-23.003,-64.2,3.487
-0.147,-0.069,-15.085,-99.056,-46.691
-0.193,-0.086,-21.644,-102.536,-45.834
-0.194,-0.098,-8.618,-86.254,-43.389
-0.178,-0.078,-14.743,-150.393,-66.449
-0.2,-0.089,-20.314,-54.507,-24.366
-0.203,-0.095,-21.668,-110.4,-51.911
-0.156,-0.07,-8.237,-71.214,-32.593
-0.218,-0.121,-15.044,-107.045,-59.755
-0.216,-0.11,-21.85,-125.723,-65.051
-0.164,-0.073,-25.65,-120.865,-53.764
0.036,0.075,-22.907,48.442,100.622
0.172,0.176,-23.437,289.915,297.145
0.294,0.274,-38.288,582.839,542.641
-0.15,-0.077,-6.426,-52.187,-27.467
-0.16,-0.086,-5.582,-60.337,-32.344
-0.179,-0.044,-10.11,-52.934,-13.57
-0.171,-0.097,-8.557,-68.188,-38.533
-0.13,-0.056,-13.639,-114.997,-49.718
0.108,0.117,-24.238,137.805,148.721
-0.151,-0.044,-30.798,-127.197,-37.63
0.182,0.181,-16.394,327.32,326.1
0.038,0.1,-25.362,45.146,120.118
-0.12,-0.042,-26.547,-115.81,-41.269
-0.16,-0.074,-19.297,-114.613,-53.092
0.115,0.136,-15.666,135.759,160.462
-0.211,-0.103,-8.74,-85.558,-41.771
-0.181,-0.081,-7.733,-82.932,-36.944
-0.234,-0.084,-16.118,-83.42,-29.943
-0.218,-0.107,-7.039,-47.873,-24.034
-0.2,-0.103,-19.93,-144.764,-74.45
-0.171,-0.073,-20.985,-134.895,-57.513
-0.223,-0.057,-7.946,-66.627,-16.954
-0.249,-0.069,-18.994,-77.511,-21.535
-0.233,-0.076,-6.159,-65.67,-21.55
-0.17,-0.071,-21.105,-89.653,-37.447
-0.165,-0.082,-13.716,-58.753,-29.306
-0.134,-0.08,-7.376,-50.446,-29.957
-0.232,-0.107,-20.338,-90.598,-41.772
-0.178,-0.073,-27.416,-128.042,-52.62
-0.131,-0.054,-17.576,-122.563,-51.008
-0.198,-0.088,-25.309,-93.694,-41.489
-0.135,-0.053,-15.243,-95.077,-37.634
-0.147,-0.07,-13.278,-87.611,-42.363
-0.166,-0.088,0.661,-44.21,-23.571
-0.143,-0.062,-8.473,-86.375,-37.245
-0.145,-0.051,-21.03,-116.975,-42.78
-0.135,-0.082,4.869,-45.078,-27.372
-0.143,-0.082,-9.851,-78.38,-45.019
0.091,0.119,-14.877,79.17,103.502
-0.183,-0.086,-11.143,-115.098,-54.212
-0.133,-0.097,0.253,-41.935,-30.951
-0.144,-0.079,-7.509,-76.751,-42.222
-0.219,-0.116,-6.45,-48.819,-25.798
-0.189,-0.1,-10.806,-49.397,-26.035
-0.136,-0.066,-8.685,-44.347,-21.765
-0.147,-0.072,-1.609,-37.582,-18.479
-0.174,-0.062,-22.321,-100.455,-35.951
-0.18,-0.092,2.703,-65.725,-33.693
-0.192,-0.083,-11.254,-58.831,-25.53
-0.195,-0.109,-10.13,-73.244,-41.098
-0.193,-0.083,-11.506,-59.155,-25.452
-0.148,-0.06,-21.47,-109.615,-44.785
-0.12,-0.032,-21.816,-91.899,-24.667
-0.185,-0.095,-16.63,-125.947,-64.486
-0.175,-0.083,-4.982,-59.085,-28.073
-0.151,-0.077,-17.725,-104.17,-52.931
-0.152,-0.082,-11.44,-113.283,-60.948
-0.252,-0.103,-19.451,-77.947,-31.916
-0.166,-0.071,-23.001,-109.083,-46.527
-0.189,-0.095,-13.381,-130.413,-65.845
-0.205,-0.086,-3.709,-56.712,-23.762
-0.238,-0.099,-5.162,-67.309,-28.021
-0.028,0.017,-17.65,-24.269,14.763
-0.262,-0.107,-19.43,-72.438,-29.557
-0.171,-0.082,-11.261,-76.062,-36.766
-0.149,-0.069,-11.42,-95.368,-44.479
-0.168,-0.085,-9.785,-79.876,-40.874
-0.117,-0.047,-11.444,-69.928,-28.477
-0.125,-0.045,-14.739,-100.597,-36.387
-0.198,-0.087,-19.391,-121.919,-53.842
-0.187,-0.096,-19.469,-142.672,-73.817
-0.057,-0.022,-25.095,-74.756,-28.454
-0.18,-0.064,-25.561,-113.369,-40.242
-0.159,-0.07,-16.515,-98.44,-43.092
-0.095,-0.008,-26.552,-96.002,-8.499
-0.21,-0.065,-21.645,-83.613,-25.726
-0.189,-0.076,-11.583,-103.99,-42.14
-0.181,-0.074,-12.62,-86.59,-35.278
-0.168,-0.061,-10.345,-44.324,-15.975
-0.137,-0.083,-4.376,-39.298,-23.722
-0.178,-0.071,-9.716,-51.684,-20.806
-0.253,-0.106,-19.368,-77.764,-32.598
-0.248,-0.103,-19.687,-78.011,-32.199
-0.131,-0.028,-26.645,-102.27,-22.146
-0.261,-0.124,-17.574,-90.853,-43.184
-0.192,-0.092,-25.211,-127.169,-61.407
-0.179,-0.073,-24.953,-125.615,-50.754
-0.191,-0.08,-16.686,-68.325,-28.483
-0.203,-0.087,-6.36,-76.872,-32.931
-0.17,-0.058,-16.3,-104.3,-35.589
-0.184,-0.079,-25.251,-156.947,-67.913
-0.197,-0.084,-24.251,-134.242,-57.249
-0.173,-0.083,-21.511,-135.87,-65.026
-0.217,-0.093,-9.152,-74.348,-31.763
-0.2,-0.087,-2.348,-70.877,-31.015
-0.174,-0.064,-4.268,-59.34,-22.043
-0.228,-0.102,-19.146,-88.119,-39.38
-0.212,-0.081,-16.961,-74.747,-28.682
-0.185,-0.075,-13.79,-70.858,-29.026
0.112,0.121,-35.828,201.907,218.194
-0.158,-0.079,-15.515,-85.396,-43.589
-0.181,-0.073,-7.779,-66.435,-27.011
-0.179,-0.088,-10.315,-70.264,-34.968
-0.103,-0.043,-26.415,-86.155,-35.828
-0.158,-0.081,-10.995,-112.253,-57.355
-0.17,-0.073,0.798,-44.432,-19.648
-0.203,-0.095,-0.23,-56.168,-27.31
-0.146,-0.107,-1.697,-70.097,-52.399
-0.176,-0.074,-17.84,-96.604,-41.317
-0.171,-0.062,-29.158,-106.65,-38.961
-0.179,-0.067,-32.281,-114.927,-43.302
-0.148,-0.073,-17.421,-110.318,-54.196
-0.128,-0.071,-9.156,-97.387,-54.244
-0.152,-0.083,-8.86,-109.544,-60.482
