X1_exposed_hydrophobic_count,X2_ligand_acceptor_count,X3_ligand_clash_count,X4_ligand_donor_count,X5_ligand_hbond_count,X6_molecular_weight,X7_occluded_ligand_acceptor_count,X8_occluded_ligand_donor_count,X9_occluded_ligand_polar_count,X10_occluded_protein_acceptor_count,X11_occluded_protein_donor_count,X12_occluded_protein_polar_count,X13_rotatable_bond_count,X14_ligand_buried_surface_area_docked
4,2,0,2,0,319.955,1,1,0,0,0,0,3,91.1781
3,3,0,0,0,144.084,2,0,0,0,0,0,2,94.0227
7,3,0,1,0,305.223,1,1,1,1,0,0,6,92.353
5,8,5,12,2,620.483,3,7,0,2,1,0,28,90.212
5,8,1,2,2,565.291,5,0,3,0,2,0,22,94.1003
5,9,2,2,3,531.282,3,1,0,1,1,0,22,90.0746
5,14,2,4,2,651.323,8,2,0,1,2,0,23,93.3532
5,8,2,5,3,355.215,1,4,0,1,0,0,15,91.7231
8,8,4,4,1,514.401,6,3,0,3,0,0,15,95.1155
7,9,1,2,1,600.449,5,0,0,2,2,0,16,89.004
0,2,0,1,1,81.0495,1,0,0,2,0,0,3,99.6128
11,6,1,0,0,398.26,2,0,1,0,1,0,0,78.1843
21,13,4,3,3,837.568,2,1,0,1,3,0,9,67.7936
5,9,2,4,3,337.142,1,2,2,3,0,0,7,88.1784
2,10,0,5,6,354.149,1,0,0,0,0,0,7,85.7412
3,10,2,5,6,354.149,1,1,0,1,0,0,7,85.0539
7,4,5,4,2,769.814,1,2,0,3,0,0,7,79.958
5,4,3,1,0,293.209,4,1,0,1,0,0,5,96.1055
5,2,3,0,0,248.191,2,0,0,2,0,0,15,96.3876
7,3,11,0,0,478.163,3,0,2,3,1,0,9,91.3293
2,4,0,1,3,378.333,1,0,1,0,0,0,5,96.9931
1,5,1,1,3,397.447,1,0,1,1,0,1,7,97.1697
2,4,4,2,2,162.099,2,1,0,0,0,0,4,93.3322
4,4,1,0,1,174.09,2,0,1,1,0,0,3,95.8767
2,2,0,0,0,136.128,2,0,0,0,0,0,2,93.3333
1,1,2,4,0,228.205,0,1,0,0,1,0,1,96.271
7,2,12,6,0,454.394,1,4,0,2,1,0,15,92.7159
4,1,3,2,0,281.675,1,1,0,0,1,0,2,97.0838
2,3,10,10,7,258.232,1,3,0,3,0,0,15,95.5055
5,4,9,11,4,361.311,2,6,0,3,2,0,20,95.3445
5,4,10,11,2,361.311,3,8,0,2,1,0,21,89.4137
2,7,4,5,4,185.114,4,0,0,2,0,0,6,94.6984
6,16,17,10,6,506.287,6,1,0,2,0,0,17,75.6367
12,29,37,20,13,926.544,7,5,0,5,0,0,34,74.5154
2,7,5,5,6,185.114,0,0,0,1,0,0,6,91.7928
2,5,3,4,2,192.128,1,3,0,1,0,0,5,95.8151
3,5,7,4,1,288.214,3,2,1,2,0,0,8,88.3037
3,9,6,6,3,296.166,3,2,0,0,0,0,11,90.9897
3,7,4,7,4,279.182,4,4,0,0,0,0,10,95.2303
2,7,17,9,2,321.222,3,3,0,3,1,0,12,84.7132
3,5,13,5,5,155.108,1,2,0,1,0,0,5,86.8665
2,6,4,6,5,186.122,2,1,0,1,0,0,6,94.5616
3,5,9,4,2,288.214,2,1,1,2,0,0,8,89.0213
2,10,7,1,2,375.103,4,1,1,2,0,0,7,87.122
4,6,5,4,5,239.101,2,0,0,1,0,0,6,90.8359
5,10,8,1,4,339.071,4,0,0,3,0,0,7,91.8469
8,3,19,5,3,524.416,2,1,1,2,0,0,18,91.9019
10,14,33,12,10,840.579,2,2,0,3,0,0,37,79.4547
7,9,10,5,4,609.461,2,3,1,2,0,0,24,85.2954
6,9,5,2,3,408.179,6,1,1,0,0,0,9,95.1107
6,9,5,2,3,408.179,6,0,1,0,0,0,9,94.3129
2,9,4,2,3,408.179,5,1,1,0,0,0,9,94.2157
0,4,0,0,0,112.04,1,0,0,0,0,0,2,88.1636
3,2,3,0,2,140.095,0,0,0,0,0,0,3,91.3492
3,2,3,0,2,140.095,0,0,0,0,0,0,3,90.5162
3,3,5,3,3,199.146,0,1,0,2,0,0,3,94.3942
2,3,9,6,2,282.28,2,2,0,1,0,0,5,86.5595
2,2,1,3,1,157.129,1,1,0,0,0,0,1,95.1312
7,2,8,2,2,289.655,1,0,1,1,0,0,5,86.0652
12,9,10,2,1,548.403,2,1,0,2,0,0,11,73.8833
7,2,6,2,1,385.162,2,1,0,2,0,0,6,89.8509
4,3,7,3,4,245.192,0,0,0,2,0,0,8,93.3476
1,3,5,3,3,293.235,1,0,0,2,0,0,8,94.3415
6,5,10,4,4,474.366,2,2,2,0,1,0,13,96.4527
1,2,0,0,0,124.117,1,0,0,0,0,0,1,89.768
4,4,6,1,3,310.713,1,0,1,2,0,0,4,91.6145
4,7,7,2,2,336.277,4,2,1,4,0,0,6,92.0747
4,2,8,4,1,230.201,1,2,0,1,0,0,5,92.6119
4,3,4,3,1,429.226,2,0,0,0,1,0,8,96.5606
7,7,17,4,3,452.33,1,2,0,5,0,0,10,77.5372
11,13,29,15,6,773.538,5,3,0,4,0,0,33,79.8193
14,12,22,19,9,907.694,5,4,0,3,2,0,42,70.8916
12,12,28,12,11,896.647,2,2,0,3,1,0,34,76.8241
7,6,4,2,1,268.158,4,1,1,2,0,0,3,94.2306
7,3,8,1,1,281.201,3,0,1,0,0,0,2,91.1697
4,1,6,1,2,470.74,0,0,1,1,0,0,1,90.8549
1,6,5,0,1,246.176,2,0,1,0,0,0,4,93.4661
9,9,13,3,2,513.327,5,2,0,1,2,0,19,90.8388
9,10,20,2,3,684.458,3,1,0,2,1,0,19,81.9497
5,5,15,8,3,480.387,4,5,0,2,0,0,21,93.1912
16,11,12,10,3,848.629,3,5,0,3,0,1,33,65.865
10,9,23,7,5,629.447,3,3,0,2,0,0,29,80.4503
10,9,17,3,4,568.322,3,0,0,2,0,0,20,79.486
7,5,20,5,4,467.317,0,3,2,1,2,0,19,84.3641
12,9,14,4,0,595.348,3,4,0,2,1,0,12,77.422
5,8,4,3,4,296.11,2,0,1,2,0,0,6,88.3461
4,8,5,2,3,297.094,2,1,1,2,0,0,5,88.6568
4,8,3,3,3,296.11,2,1,2,2,0,0,6,87.7116
4,2,1,5,3,137.116,1,2,0,0,0,0,6,93.8129
6,5,14,4,4,450.338,1,2,0,2,0,0,14,91.9894
9,7,3,3,4,488.281,3,1,0,2,0,0,16,83.1268
3,7,14,7,3,253.165,4,2,0,2,0,0,7,91.5263
2,9,9,8,4,284.179,5,4,0,1,0,0,8,92.1325
1,6,5,6,4,236.158,1,2,0,0,0,0,6,93.0366
3,8,4,2,5,292.036,3,0,1,1,0,0,9,90.3238
1,7,0,3,3,246.071,3,2,0,0,0,0,8,95.1513
1,8,0,1,1,246.048,3,1,0,0,0,0,7,95.4057
2,3,1,1,1,157.102,2,0,0,1,0,0,4,95.3409
7,8,16,2,4,441.223,3,0,0,2,0,0,14,87.5316
7,8,11,2,3,549.319,6,0,1,2,1,0,17,92.1252
2,4,6,3,2,233.185,3,0,0,2,0,0,4,89.588
2,16,13,4,2,495.086,10,2,3,3,0,0,11,82.3985
6,5,6,3,2,319.278,3,0,1,3,0,0,5,88.4057
5,1,13,4,1,202.191,1,1,0,3,0,0,2,76.7718
7,6,10,5,2,429.32,3,2,1,0,0,0,6,89.7935
6,8,10,2,3,537.202,2,1,4,2,0,0,10,93.3104
8,4,8,2,3,316.249,1,0,0,2,0,0,6,91.8205
6,3,10,3,2,315.264,0,1,0,1,0,0,6,89.8976
12,5,13,3,0,459.348,3,2,0,3,1,0,3,79.232
4,8,14,7,2,371.307,5,2,0,3,0,0,11,80.6328
3,2,6,4,1,263.082,0,1,0,0,2,0,3,87.7137
10,3,12,2,2,335.702,2,0,0,2,0,0,7,84.8316
0,2,0,3,0,121.093,0,1,0,0,0,0,2,92.4239
2,2,2,4,2,100.076,1,2,0,0,0,0,1,90.405
5,4,1,1,2,254.026,2,0,0,1,0,0,2,92.2052
2,3,1,2,3,134.096,0,0,0,0,0,0,0,90.9932
1,6,3,3,3,326.132,2,1,2,0,0,0,7,94.6128
2,5,2,7,5,259.197,2,2,0,1,1,0,5,92.9544
2,4,2,4,2,180.118,2,2,0,0,0,0,4,94.9919
1,4,3,4,1,230.156,1,3,0,2,0,0,4,95.7265
2,4,2,4,2,180.118,2,2,0,0,0,0,4,95.6021
9,3,12,1,0,361.284,0,0,0,4,1,0,4,85.886
8,4,9,1,0,375.291,1,0,0,3,1,0,4,84.935
5,3,3,0,1,336.255,1,0,0,1,1,0,4,95.1071
2,5,0,0,0,254.198,3,0,0,0,0,0,3,94.313
7,9,9,1,4,409.263,3,1,1,2,0,0,10,92.9278
5,11,9,2,1,476.309,6,1,0,0,1,0,14,93.9254
2,0,1,4,1,116.12,0,1,0,1,0,0,2,90.321
5,3,15,6,2,322.276,2,1,0,4,0,0,6,85.7337
7,3,6,9,6,399.364,1,3,0,0,0,0,9,90.8825
3,3,4,2,3,242.185,0,0,0,0,0,0,4,88.6793
3,3,6,2,2,254.196,1,1,0,0,0,0,4,92.0516
10,6,15,1,2,487.398,1,0,0,1,0,0,9,82.8718
2,1,0,4,1,106.105,1,2,0,0,0,0,3,94.6727
6,5,10,2,2,296.234,2,0,1,2,2,0,3,89.6704
5,3,8,3,0,353.31,1,1,0,3,0,0,8,81.3764
7,4,11,4,2,370.299,1,3,0,1,0,0,7,84.2759
8,4,5,4,4,447.854,1,0,1,2,0,0,6,89.948
9,7,13,2,2,550.717,2,1,0,3,0,0,10,74.34
3,5,9,3,3,399.382,4,1,0,2,0,0,11,94.8263
6,3,14,11,7,431.382,0,2,0,3,0,0,24,90.8632
13,5,17,2,3,659.491,2,1,0,4,0,0,20,87.1118
5,3,8,7,3,311.277,2,0,0,2,0,0,5,80.1483
6,5,11,5,1,398.28,2,1,1,2,0,0,10,87.0437
7,8,14,10,4,518.393,2,3,0,1,0,0,14,72.1285
4,9,4,3,4,314.102,2,1,1,3,0,0,6,89.6488
2,10,8,4,2,355.134,4,2,1,2,0,0,6,89.6957
1,10,4,3,5,330.101,2,1,0,1,0,0,6,93.7182
0,7,0,1,2,180.01,4,0,0,0,0,0,5,94.9313
0,6,0,0,0,150.992,3,0,1,0,0,0,3,91.7271
2,6,5,2,2,167.014,2,1,1,1,0,0,5,93.9736
1,0,1,4,2,116.12,0,0,0,0,0,0,2,90.2979
2,0,2,4,2,116.12,0,1,0,0,0,0,2,90.4322
9,5,11,0,1,471.81,1,0,1,3,0,0,5,76.8734
4,0,5,3,2,137.137,0,1,0,1,0,0,5,93.5236
4,5,11,6,5,414.35,1,3,0,0,0,0,12,87.8689
8,1,6,6,4,316.292,0,0,0,0,0,0,5,84.0143
1,3,0,3,1,133.111,2,1,0,0,0,0,1,90.0158
2,5,4,4,4,284.25,2,1,1,0,2,0,6,93.5099
1,4,4,4,1,278.269,2,1,1,2,0,0,6,90.9915
9,3,17,3,3,488.333,1,2,1,3,2,0,15,85.6376
4,3,8,5,1,430.295,1,4,2,2,0,0,14,92.2074
4,3,12,6,1,443.314,2,3,0,2,2,0,17,89.5176
2,6,7,5,1,257.182,2,2,1,0,0,0,6,91.7657
1,7,4,5,4,261.17,2,3,0,0,0,0,5,95.0693
4,6,4,6,3,272.196,3,2,0,0,0,0,6,87.3768
2,3,1,1,2,145.092,1,0,0,1,0,0,3,92.7893
2,3,0,1,0,133.081,2,1,0,0,0,0,2,94.8262
2,4,0,1,0,151.076,2,0,0,0,0,0,2,95.671
14,13,23,14,10,930.753,2,2,0,2,0,0,38,61.9476
5,5,6,3,2,367.295,1,3,0,3,2,0,10,91.3554
3,5,2,1,1,321.219,3,0,0,0,1,0,3,93.347
2,4,7,0,3,291.043,0,0,0,2,0,0,6,92.3267
6,10,17,5,4,586.271,6,1,0,1,1,0,21,92.4558
9,6,15,5,5,451.367,2,1,0,2,1,0,16,89.0051
7,2,4,1,0,398.038,2,1,0,0,0,0,5,95.6326
7,1,3,1,0,317.533,1,1,0,1,0,0,5,95.2757
4,3,8,2,2,346.299,1,1,0,1,1,0,7,88.623
3,5,11,6,5,286.2,1,4,0,1,0,0,13,94.9424
3,6,1,1,2,378.232,2,1,0,0,0,0,7,96.2379
4,6,1,1,2,378.232,2,1,0,0,0,0,7,96.1583
7,9,9,5,2,427.286,7,4,0,0,0,0,11,95.7663
6,9,9,5,4,437.304,6,1,0,0,0,0,12,95.9331
7,9,10,5,3,437.304,5,2,0,0,0,0,12,95.9588
9,13,30,15,11,793.57,7,6,1,3,0,0,34,86.3783
3,3,2,2,0,230.199,2,1,0,0,0,0,5,94.2451
4,3,5,2,1,230.199,2,0,0,1,0,0,5,94.6794
4,7,8,3,3,337.2,2,1,0,1,0,0,6,82.2353
3,13,14,4,3,416.114,5,0,1,2,0,0,9,80.8174
6,23,13,4,7,786.176,8,1,3,3,0,0,16,71.0944
2,13,7,4,6,416.114,7,1,2,0,0,0,9,90.6155
3,13,5,3,4,415.106,5,0,2,3,0,0,8,89.2493
3,28,26,8,7,895.2,5,3,2,4,0,0,22,65.4793
8,2,4,0,2,272.213,0,0,0,0,0,0,8,95.5647
6,1,2,1,2,328.784,0,0,0,0,0,0,1,94.6444
7,2,5,2,0,319.955,1,1,0,2,0,0,3,90.961
4,3,0,0,0,144.084,2,0,0,0,0,0,2,95.6942
4,3,4,1,0,305.223,1,0,0,0,0,0,6,94.0124
13,8,28,12,5,620.483,5,4,0,3,0,0,28,87.7078
8,8,7,2,2,565.291,4,1,2,2,1,0,22,87.378
7,9,8,2,1,531.282,5,1,0,3,2,0,22,84.8527
4,14,23,4,4,651.323,5,3,0,2,0,0,23,84.2022
3,8,8,5,1,355.215,5,2,0,2,0,0,15,96.3224
7,8,10,4,3,514.401,1,3,0,0,1,0,15,89.3011
11,9,9,2,2,600.449,4,1,0,2,0,0,16,85.4773
3,2,1,1,2,81.0495,1,0,0,1,0,0,3,87.9521
9,6,11,0,1,398.26,2,0,0,0,3,0,0,83.9861
22,13,26,3,1,837.568,4,2,0,6,2,0,9,62.61
3,9,12,4,2,337.142,6,0,1,4,0,0,7,85.8762
3,10,9,5,5,354.149,3,1,1,3,0,0,7,85.0679
2,10,10,5,6,354.149,2,1,0,2,0,0,7,85.375
3,4,16,4,0,769.814,3,3,0,8,1,0,7,94.9255
7,4,23,1,2,293.209,2,0,0,3,1,0,5,90.2022
3,2,12,0,2,248.191,0,0,0,4,1,0,15,97.0864
8,3,26,0,0,478.163,3,0,3,7,2,0,9,93.4421
5,4,19,1,2,378.333,2,0,2,6,2,0,5,95.8826
3,5,18,1,2,385.352,3,0,1,6,2,0,6,94.8646
0,4,3,2,2,162.099,2,2,0,2,0,1,4,100
0,4,1,0,1,174.09,3,0,1,1,0,0,3,100
0,2,1,0,1,141.168,1,0,1,1,0,0,2,100
5,1,21,4,5,228.205,0,0,0,4,0,0,1,95.1399
8,2,30,6,2,454.394,1,3,0,7,2,1,15,92.8165
8,1,18,2,1,281.675,1,0,0,3,1,0,2,91.4728
1,3,18,10,6,258.232,1,6,0,3,1,0,15,98.5903
4,4,27,11,10,361.311,3,2,0,2,2,0,20,96.7966
5,4,27,11,7,361.311,3,5,0,1,2,0,21,97.0544
0,7,15,5,6,185.114,2,3,0,2,0,0,6,97.0476
1,16,32,10,7,506.287,9,5,0,4,1,0,17,96.7912
2,29,75,20,19,926.544,7,3,0,2,0,1,34,95.649
2,7,17,5,8,185.114,1,2,0,2,0,0,6,98.1146
1,5,17,4,7,192.128,0,0,0,2,0,0,5,95.2511
0,5,15,4,5,288.214,0,0,1,3,0,0,8,97.2524
2,9,23,6,8,296.166,3,2,0,2,0,0,11,94.063
3,7,23,7,10,279.182,1,2,0,3,0,0,10,93.9807
