X1_number_of_ligand_nonh_atoms,X2_total_sum_hphob_hphob,X3_total_diff_hphob_hphob,X4_total_diff_hphob_hphil,X5_total_sum_hphil_hphil,X6_total_diff_hphil_hphil,X7_number_of_salt_bridges,X8_number_of_hbonds,X9_number_of_unsat_polar,X10_number_of_unsat_charge,X11_ratio_of_interfacial_ligand_heavy_atoms,X12_number_of_interfacial_ligand_atoms,X13_number_of_exposed_hydro_ligand_atoms,X14_number_of_ligand_flexible_bonds,X15_number_of_all_interfacial_flexible_bonds,X16_total_avg_hphob_hphob,X17_old_slide_total_sum_hphob_hphob,X18_number_of_flexible_interfacial_ligand_bonds,X19_total_hphob_comp,X20_total_hphob_hphob_comp,X21_contact_hphob_hphob,X22_contact_hphil_hphil,X23_contact_hphob_hphil,X24_total_target_hphob_hphob,X25_increase_hphob_environ,X26_total_target_hydro,X27_norm_target_hphob_hphob,X28_total_target_hphob_contact,X29_norm_target_hphob_contact,X30_total_ligand_hydro,X31_hphob_score,X32_polar_score,X33_unsat_polar_score,X34_contact_hphob_hphob,X35_number_of_hbonds,X36_number_of_salt_bridges,X37_number_of_metal_ligand_bonds,X38_number_of_interfacial_unsatisfied_polar_atoms,X39_number_of_interfacial_unsatisfied_charged_atoms,X40_buried_carbons,Y1_orientation_score,Y2_affinity_score_by_no_of_lig_heavy_atoms,Y3_affinity_score
36,-28.138,5.644,17.33,1.367,0.556,0,0,6,4,0.972,35,0,15,44,-5.482,79.95,15,28.561,26.186,147,4,49,-23.953,9.65,40.87,-29.557,-18.436,-22.789,17.445,-6.259,0,1.34,147,0,0,0,6,4,0.967,-9.791,-0.137,-10.137
21,-16.627,3.049,9.257,0.515,0.285,0,1,1,0,0.905,19,1,2,18,-3.733,48.151,1,16.123,16.505,83,1,25,-13.992,4.813,20.02,-16.857,-12.149,-15.289,10.038,-3.945,-0.083,0.134,83,1,0,0,1,0,0.944,-7.236,-0.185,-9.112
19,-15.587,2.784,19.351,4.127,1.158,0,1,3,4,1,19,0,14,29,-2.251,54.756,14,15.274,11.711,83,12,51,-13.727,9.456,28.263,-16.577,-17.193,-20.415,8.115,-2.799,-0.083,0.938,83,1,0,0,3,4,1,-7.739,-0.102,-7.162
27,-18.458,3.325,26.942,3.23,1.13,0,4,3,2,1,27,0,20,36,-3.635,48.442,18,20.202,17.457,97,7,74,-15.668,15.034,33.653,-18.777,-18.613,-22.95,11.835,-4.172,-0.332,0.67,97,4,0,0,3,2,1,-8.957,-0.142,-9.052
27,-18.293,2.964,25.485,3.213,1.33,0,0,6,4,1,27,0,20,41,-3.715,49.257,19,20.533,17.463,91,9,66,-15.503,11.635,29.334,-18.943,-15.535,-18.11,11.835,-4.174,0,1.34,91,0,0,0,6,4,1,-7.799,-0.105,-8.052
13,-3.59,0.694,19.186,6.416,3.201,0,5,3,4,0.923,12,0,7,30,-1.685,6.96,6,8.373,5.645,14,27,50,-2.66,9.628,14.95,-3.619,-1.306,-2.919,4.32,-1.349,-0.415,0.938,14,5,0,0,3,4,1,-6.096,-0.064,-6.044
36,-7.872,2.278,45.357,9.238,3.273,0,9,13,2,0.861,31,1,18,49,-3.03,21.542,17,18.192,13.109,40,28,110,-5.702,16.112,38.698,-6.931,-7.52,-9.704,10.365,-3.133,-0.747,2.01,40,9,0,0,13,2,0.789,-8.899,-0.052,-7.088
66,-18.91,3.527,56.878,14.773,4.759,0,11,18,8,0.818,54,4,35,78,-7.049,70.234,29,37.923,28.78,91,44,133,-14.26,17.438,42.235,-17.49,-14.586,-19.197,19.35,-6.878,-0.913,3.484,91,11,0,0,18,8,0.811,-10.665,-0.065,-9.525
13,-4.054,0.857,16.929,5.122,1.883,0,3,5,4,1,13,0,7,27,-1.27,10.513,6,8.37,4.731,18,19,40,-3.279,6.228,17.247,-4.089,-2.722,-4.296,4.425,-1.131,-0.249,1.206,18,3,0,0,5,4,1,-5.95,-0.013,-5.392
14,-7.322,1.649,17.472,4.532,2.354,0,5,5,3,1,14,0,5,30,-1.781,13.061,5,9.876,7.703,35,19,47,-6.082,9.42,18.77,-7.512,-3.992,-6.582,5.43,-1.841,-0.415,1.072,35,5,0,0,5,3,1,-6.812,-0.085,-6.402
22,-17.61,3.415,21.338,4.138,1.405,0,4,4,3,1,22,0,8,36,-3.364,49.637,8,17.293,15.482,89,12,52,-15.13,8.369,30.212,-18.271,-14.383,-17.762,9.87,-3.7,-0.332,0.938,89,4,0,0,4,3,1,-8.563,-0.141,-8.312
21,-6.588,1.454,26.162,6.206,2.139,3,2,7,0,1,21,0,11,23,-2.481,22.841,10,13.603,10.517,33,18,60,-4.883,7.13,18.71,-5.969,-5.824,-7.352,7.335,-2.514,-0.415,0.938,33,2,3,0,7,0,1,-6.762,-0.095,-7.209
20,-5.835,1.306,22.3,4.956,2.357,3,3,7,2,0.95,19,0,9,34,-2.342,17.723,8,11.664,8.606,26,16,53,-4.44,7.743,19.076,-5.733,-4.11,-5.695,6.855,-2.057,-0.498,1.206,26,3,3,0,7,2,0.909,-6.813,-0.067,-6.567
23,-8.215,1.27,27.452,5.766,1.682,0,4,4,5,1,23,0,9,26,-2.49,31.027,8,15.075,10.706,40,16,67,-6.51,10.204,20.312,-7.503,-8.489,-10.914,8.535,-2.559,-0.332,1.206,40,4,0,0,4,5,1,-6.832,-0.073,-6.903
11,-6.652,1.232,17.971,4.844,1.305,0,4,3,2,1,11,0,5,17,-1.192,7.427,5,7.619,5.866,34,14,43,-5.722,6.548,15.681,-6.966,-3.695,-6.393,4.035,-1.402,-0.332,0.67,34,4,0,0,3,2,1,-6.412,-0.097,-6.282
13,-3.827,0.843,20.874,5.985,2.622,0,5,5,2,1,13,0,5,29,-1.33,11.002,5,8.67,5.798,18,23,51,-2.897,8.754,18.457,-3.478,-3.929,-6.628,4.425,-1.386,-0.415,0.938,18,5,0,0,5,2,1,-6.402,-0.066,-6.081
22,-18.117,3.515,22.266,4.478,1.958,0,4,7,2,1,22,0,8,35,-3.354,48.451,8,17.208,15.46,92,15,54,-15.637,8.643,31.125,-19.089,-14.116,-16.642,9.87,-3.695,-0.332,1.206,92,4,0,0,7,2,1,-8.688,-0.128,-8.039
25,-11.373,1.692,38.357,7.991,3.362,6,2,4,2,1,25,0,11,31,-2.591,34.638,6,16.412,11.557,55,22,90,-9.513,13.079,27.164,-10.227,-12.228,-14.284,9.261,-2.762,-0.664,0.804,55,2,6,0,4,2,1,-8.351,-0.105,-7.84
16,-11.082,1.666,18.204,3.519,1.225,2,0,5,3,1,16,0,9,23,-1.532,39.41,6,11.756,7.774,58,9,49,-9.842,9.241,23.176,-11.504,-14.453,-16.08,5.853,-1.858,-0.166,1.072,58,0,2,0,5,3,1,-7.043,-0.059,-6.17
22,-10.679,1.623,28.632,5.895,2.852,4,1,4,3,0.955,21,1,12,27,-1.824,35.029,6,14.615,8.718,53,17,69,-9.284,10.698,23.407,-10.775,-14.098,-16.729,7.041,-2.084,-0.415,0.938,53,1,4,0,4,3,0.9,-7.509,-0.071,-6.779
41,-33.628,7.358,31.091,2.885,0.712,0,1,11,3,0.951,39,1,15,43,-6.253,84.699,11,31.686,30.138,175,7,84,-28.823,16.173,45.578,-33.57,-25.476,-29.465,18.978,-7.203,-0.083,1.876,175,1,0,0,11,3,0.939,-10.911,-0.132,-10.628
63,-30.562,6.994,64.043,11.297,3.965,5,2,20,6,0.984,62,1,35,82,-8.057,83.851,29,44.699,37.345,157,34,158,-24.517,24.939,58.107,-28.587,-23.811,-28.78,25.95,-8.925,-0.581,3.484,157,2,5,0,20,6,0.976,-12.396,-0.096,-11.24
45,-23.33,5.025,29.061,5.765,3.823,0,5,11,2,0.867,39,2,29,54,-5.673,75.967,17,30.617,26.882,121,24,77,-18.99,14.036,37.16,-21.552,-16.733,-20.691,17.235,-6.425,-0.415,1.742,121,5,0,0,11,2,0.9,-9.912,-0.113,-10.316
26,-14.194,2.711,20.462,7.031,2.804,0,2,4,6,1,26,0,13,33,-2.605,51.713,8,19.515,12.464,74,17,58,-12.179,12.461,27.653,-14.536,-14.437,-16.51,9.726,-2.979,-0.166,1.34,74,2,0,0,4,6,1,-7.684,-0.069,-7.023
26,-12.016,2.294,24.545,6.668,4.107,12,4,5,1,0.962,25,1,13,34,-2.107,37.232,8,18.302,10.732,63,29,69,-10.311,14.365,25.799,-12.418,-12.11,-14.478,9.171,-2.565,-1.328,0.804,63,4,12,0,5,1,0.917,-9.964,-0.119,-8.307
26,-13.23,2.477,23.047,6.802,2.528,0,2,4,5,1,26,0,13,32,-2.8,51.578,8,19.268,12.475,68,17,63,-11.215,12.852,28.35,-13.245,-14.216,-16.415,9.726,-2.981,-0.166,1.206,68,2,0,0,4,5,1,-7.588,-0.075,-7.159
8,-4.12,0.693,15.729,3.634,0.495,0,0,0,4,1,8,0,0,14,-0.709,14.67,0,5.307,3.843,23,9,35,-3.5,3.978,18.292,-4.105,-5.706,-6.422,2.64,-0.918,0,0.536,23,0,0,0,0,4,1,-5.562,-0.048,-5.6
11,-11.617,1.985,8.319,1.92,0.259,0,0,0,2,1,11,0,3,15,-1.656,38.493,3,9.406,8.754,63,5,19,-10.222,2.277,19.271,-11.692,-10.37,-10.888,5.205,-2.092,0,0.268,63,0,0,0,0,2,1,-6.542,-0.166,-7.042
11,-11.958,2.018,8.418,1.92,0.259,0,0,0,2,1,11,0,3,15,-1.653,34.885,3,9.29,8.754,65,5,19,-10.563,2.223,19.686,-12.28,-10.252,-10.544,5.205,-2.092,0,0.268,65,0,0,0,0,2,1,-6.613,-0.166,-7.042
15,-11.37,1.99,17.815,2.135,0.56,0,0,7,0,1,15,0,4,14,-1.68,37.139,3,11.61,8.832,61,5,49,-9.975,10.165,20.107,-11.682,-14.59,-17.093,6.345,-2.111,0,0.938,61,0,0,0,7,0,1,-6.547,-0.078,-6.391
20,-16.479,2.653,21.532,3.121,1.197,0,0,5,4,1,20,0,3,23,-2.72,40.742,3,15.831,12.522,83,9,64,-14.464,14.293,26.841,-16.637,-15.766,-18.708,9.03,-2.993,0,1.206,83,0,0,0,5,4,1,-7.463,-0.089,-7.005
12,-11.954,1.683,10.3,1.931,0.896,0,1,1,2,1,12,0,0,10,-1.52,38.061,0,10.006,7.812,63,6,31,-10.714,7.289,19.098,-13.013,-13.041,-15.663,5.4,-1.867,-0.083,0.402,63,1,0,0,1,2,1,-6.72,-0.129,-6.766
21,-14.712,2.964,10.222,2.385,1.186,0,0,9,1,0.952,20,0,5,17,-2.879,53.536,1,17.255,13.456,76,6,32,-12.542,8.052,20.973,-16.119,-14.055,-17.465,9.333,-3.216,0,1.34,76,0,0,0,9,1,0.933,-6.944,-0.089,-7.094
43,-27.323,5.676,24.756,3.304,1.122,0,1,11,5,0.977,42,1,7,40,-6.312,104.606,5,34.764,29.788,142,9,75,-22.518,16.848,36.511,-26.183,-23.856,-27.522,19.62,-7.119,-0.083,2.144,142,1,0,0,11,5,0.969,-9.599,-0.118,-10.276
27,-14.684,3.292,13.799,3.156,1.45,0,0,12,2,0.889,24,1,4,27,-4.534,40.694,1,19.466,18.376,75,9,38,-11.739,7.25,29.23,-14.578,-7.455,-10.905,11.856,-4.392,0,1.876,75,0,0,0,12,2,0.95,-7.425,-0.093,-7.734
19,-18.818,3.078,14.987,3.407,1.722,0,2,3,0,1,19,0,6,22,-2.734,54.283,6,15.581,13.58,98,11,41,-16.648,8.146,27.459,-19.611,-16.805,-20.065,8.835,-3.246,-0.166,0.402,98,2,0,0,3,0,1,-8.224,-0.158,-8.228
23,-22.363,3.67,16.939,3.175,1.191,0,1,6,1,1,23,0,6,24,-3.537,62.947,6,19.696,17.499,115,10,44,-19.573,7.442,30.961,-21.911,-17.821,-19.093,11.055,-4.182,-0.083,0.938,115,1,0,0,6,1,1,-8.64,-0.145,-8.545
37,-26.066,4.441,29.62,5.52,2.275,0,3,7,5,0.946,35,1,10,42,-5.434,76.947,9,27.811,24.218,134,19,78,-22.191,14.898,40.129,-26.491,-21.187,-25.839,16.455,-5.788,-0.249,1.608,134,3,0,0,7,5,0.963,-10.014,-0.12,-9.647
8,-8.799,1.423,9.56,2.03,0.257,0,0,1,2,1,8,0,0,8,-1.152,23.88,0,6.493,5.849,46,5,21,-7.869,2.342,17.856,-9.602,-8.268,-10.138,3.54,-1.398,0,0.402,46,0,0,0,1,2,1,-6.064,-0.124,-6.214
19,-13.171,2.11,18.736,3.152,1.837,5,0,5,0,1,19,0,2,27,-2.863,39.376,2,13.902,12.59,66,10,46,-11.156,7.178,23.318,-13.533,-12.303,-15.262,8.238,-3.009,-0.415,0.67,66,0,5,0,5,0,1,-7.802,-0.145,-7.972
22,-13.299,2.313,27.954,5.614,1.055,3,1,8,4,1,22,0,3,26,-3.16,44.113,3,15.789,13.354,64,13,66,-11.129,9.304,26.878,-13.315,-12.057,-14.852,8.79,-3.192,-0.332,1.608,64,1,3,0,8,4,1,-7.785,-0.087,-7.134
18,-14.259,2.463,11.656,1.106,0.753,0,2,3,2,1,18,0,4,25,-2.985,47.735,3,14.75,13.567,72,5,33,-12.089,6.71,24.081,-13.925,-11.344,-13.439,8.73,-3.243,-0.166,0.67,72,2,0,0,3,2,1,-7.42,-0.152,-7.957
27,-19.917,3.562,11.108,2.472,1.172,0,1,3,2,1,27,0,7,25,-3.702,72.386,7,21.508,18.424,106,6,32,-16.972,6.762,26.71,-21.259,-16.173,-20.962,13.038,-4.403,-0.083,0.67,106,1,0,0,3,2,1,-8.173,-0.141,-9.034
35,-27.113,4.858,25.549,3.795,0.9,0,0,9,2,0.971,34,1,4,29,-5.232,90.361,4,28.053,25.07,141,10,63,-23.083,9.391,36.086,-27.934,-22.479,-27.482,15.63,-5.992,0,1.474,141,0,0,0,9,2,0.963,-9.361,-0.129,-9.736
57,-19.16,3.99,45.567,8.929,2.915,3,6,16,8,0.807,46,4,27,61,-5.911,47.294,21,31.573,24.582,94,29,116,-15.13,19.149,41.058,-18.733,-12.731,-15.758,17.79,-5.875,-0.747,3.216,94,6,3,0,16,8,0.788,-10.285,-0.06,-8.624
68,-31.463,6.496,70.802,14.314,3.954,0,5,24,10,0.971,66,1,36,89,-8.387,101.004,32,48.035,38.236,161,44,179,-25.263,30.299,63.358,-30.169,-24.464,-31.353,28.26,-9.138,-0.415,4.556,161,5,0,0,24,10,0.977,-12.43,-0.073,-10.215
68,-33.635,7.09,61.951,12.131,4.915,0,5,20,8,0.971,66,1,29,76,-9.679,92.953,25,48.294,40.545,165,38,166,-27.125,30.77,55.753,-32.15,-17.345,-21.133,28.98,-9.69,-0.415,3.752,165,5,0,0,20,8,0.978,-12.058,-0.093,-11.571
20,-17.919,2.691,22.934,2.595,0.637,0,2,4,2,1,20,0,2,16,-2.514,54.132,2,15.057,12.641,93,6,53,-15.904,6.676,23.589,-18.754,-19.6,-22.22,8.13,-3.021,-0.166,0.804,93,2,0,0,4,2,1,-7.873,-0.119,-7.601
22,-20.473,3.53,15.752,3.24,1.176,2,1,2,0,1,22,0,2,23,-3.58,53.774,2,17.812,16.488,106,7,39,-17.838,6.387,22.907,-20.561,-16.084,-18.993,10.32,-3.941,-0.249,0.268,106,1,2,0,2,0,1,-8.319,-0.178,-9.14
16,-11.368,2.054,12.428,2.256,1.37,0,0,2,3,1,16,0,2,14,-1.722,38.959,0,13.495,8.669,59,6,47,-9.973,13.643,21.285,-11.681,-13.527,-16.592,7.122,-2.072,0,0.67,59,0,0,0,2,3,1,-6.572,-0.088,-6.62
17,-13.406,2.109,13.621,2.422,0.984,4,1,2,1,1,17,0,3,18,-2.148,42.178,3,12.885,10.64,70,7,33,-11.701,5.081,18.439,-13.741,-13.322,-16.099,6.915,-2.543,-0.415,0.402,70,1,4,0,2,1,1,-7.597,-0.15,-7.774
39,-25.044,5.141,33.712,6.541,2.711,8,1,8,0,1,39,0,17,47,-5.205,63.036,16,28.184,25.206,133,19,86,-21.014,14.129,35.25,-25.182,-16.138,-19.365,16.785,-6.024,-0.747,1.072,133,1,8,0,8,0,1,-10.827,-0.146,-10.917
53,-29.944,5.281,35.391,5.47,1.433,1,0,11,5,0.849,45,3,12,44,-6.987,93.932,11,34.859,32.41,155,16,83,-24.674,11.337,41.997,-29.45,-22.749,-27.54,20.835,-7.746,-0.083,2.144,155,0,1,0,11,5,0.875,-10.233,-0.107,-10.903
37,-23.575,4.237,24.131,7.313,2.25,0,2,11,4,1,37,0,25,48,-5.908,79.05,18,29.02,25.944,117,21,61,-19.39,9.773,34.796,-22.272,-13.629,-15.763,17.205,-6.201,-0.166,2.01,117,2,0,0,11,4,1,-9.109,-0.118,-9.575
65,-29.784,6.133,45.061,8.051,3.101,0,1,20,7,0.908,59,1,32,71,-8.394,91.703,25,43.322,36.381,151,23,125,-23.894,24.764,48.881,-28.497,-18.332,-22.264,26.985,-8.695,-0.083,3.618,151,1,0,0,20,7,0.956,-10.561,-0.079,-10.378
48,-26.55,6.08,39.174,5.815,1.563,0,2,16,4,0.979,47,0,35,63,-6.324,89.441,24,35.883,31.788,145,15,99,-21.435,16.392,42.004,-25.158,-21.068,-24.401,21.135,-7.597,-0.166,2.68,145,2,0,0,16,4,1,-10.192,-0.106,-10.301
42,-22.949,4.062,37.258,8.745,4.584,5,3,11,1,0.976,41,1,21,51,-6.084,70.929,15,30.984,25.978,112,30,91,-18.764,14.07,37.971,-23.575,-16.081,-22.083,17.658,-6.209,-0.664,1.608,112,3,5,0,11,1,0.966,-10.321,-0.125,-10.483
35,-20.202,4.282,22.533,4.473,2.082,0,5,10,3,1,35,0,24,54,-5.168,72.739,15,27.336,23.07,102,15,64,-16.482,13.632,36.201,-20.506,-16.206,-21.458,15.621,-5.514,-0.415,1.742,102,5,0,0,10,3,1,-9.416,-0.12,-9.405
44,-25.106,5.245,29.881,4.374,1.897,4,0,15,2,0.886,39,1,17,49,-6.32,63.413,9,29.43,27.544,126,11,76,-20.611,12.522,35.269,-23.487,-14.532,-17.252,17.505,-6.583,-0.332,2.278,126,0,4,0,15,2,0.967,-9.722,-0.105,-9.855
20,-11.272,1.925,33.086,7.034,2.044,0,2,4,3,1,20,0,7,22,-1.687,33.842,5,13.867,8.814,60,18,81,-9.877,13.17,30.692,-11.245,-16.097,-19.147,6.903,-2.107,-0.166,0.938,60,2,0,0,4,3,1,-7.547,-0.067,-6.553
20,-11.302,1.941,29.998,6.794,2.11,0,3,4,2,1,20,0,7,20,-1.693,39.693,5,13.939,8.797,60,17,71,-9.907,10.343,29.594,-11.475,-15.31,-17.778,6.723,-2.103,-0.249,0.804,60,3,0,0,4,2,1,-7.669,-0.077,-6.766
20,-8.125,1.288,20.539,4.984,2.756,8,3,6,0,0.95,19,1,7,24,-1.429,31.344,5,12.296,6.846,42,18,54,-7.04,10.404,20.823,-8.277,-11.734,-13.071,6.348,-1.636,-0.913,0.804,42,3,8,0,6,0,0.889,-8.232,-0.087,-6.963
10,-8.715,1.308,13.617,2.807,0.689,0,0,2,1,1,10,0,7,14,-1.119,28.175,5,7.807,5.869,47,7,35,-7.785,6.323,19.932,-9.63,-10.851,-13.707,4.11,-1.403,0,0.402,47,0,0,0,2,1,1,-6.214,-0.1,-6.219
35,-25.619,4.883,28.306,3.766,1.638,4,0,6,3,0.971,34,1,15,42,-5.363,70.766,13,26.352,25.31,134,10,70,-21.589,11.194,35.887,-25.533,-19.547,-22.834,15.81,-6.049,-0.332,1.206,134,0,4,0,6,3,0.963,-9.944,-0.148,-10.393
36,-22.764,4.139,28.189,7.11,2.675,5,1,9,0,1,36,0,17,41,-5.073,84.938,13,29.148,24.134,118,17,68,-18.889,9.822,31.929,-22.948,-18.763,-22.27,15.783,-5.768,-0.498,1.206,118,1,5,0,9,0,1,-9.713,-0.141,-10.278
18,-11.198,1.606,22.04,3.932,1.065,0,2,9,1,1,18,0,7,24,-2.238,45.26,7,12.393,9.645,56,10,51,-9.648,7.025,21.393,-11.808,-14.286,-15.793,6.57,-2.305,-0.166,1.34,56,2,0,0,9,1,1,-6.888,-0.063,-6.349
20,-4.485,0.8,22.017,6.333,1.41,0,2,10,1,0.9,18,1,7,19,-2.056,17.464,7,11.084,8.625,20,16,48,-3.09,5.755,18.301,-4.021,-3.249,-5.252,6.12,-2.061,-0.166,1.474,20,2,0,0,10,1,0.9,-5.871,-0.038,-5.971
17,-10.247,1.437,21.051,3.288,1.011,0,2,8,1,1,17,0,6,23,-2.265,44.832,6,11.945,9.633,50,9,49,-8.697,6.995,21.613,-9.697,-13.465,-14.741,6.465,-2.302,-0.166,1.206,50,2,0,0,8,1,1,-6.763,-0.074,-6.48
18,-5.791,1.024,32.418,7.501,2.746,6,2,4,3,0.944,17,1,11,30,-0.99,25.868,7,10.919,4.895,30,21,78,-5.016,12.096,26.525,-5.731,-12.831,-14.945,4.821,-1.17,-0.664,0.938,30,2,6,0,4,3,0.833,-7.737,-0.05,-6.114
16,-5.28,1.178,20.767,6.867,2.143,0,0,6,6,1,16,0,8,19,-1.068,18.913,6,11.369,5.813,30,18,51,-4.35,7.727,17.941,-5.102,-5.587,-6.636,4.953,-1.389,0,1.608,30,0,0,0,6,6,1,-5.701,0.014,-4.999
16,-5.484,1.227,23.438,6.676,1.897,4,0,4,5,1,16,0,8,19,-1.08,21.437,6,10.938,5.872,31,17,54,-4.554,6.782,17.458,-5.455,-6.688,-8.493,4.773,-1.404,-0.332,1.206,31,0,4,0,4,5,1,-6.451,-0.033,-5.748
12,-13.024,2.266,13.807,3.142,0.59,0,1,0,2,1,12,0,4,16,-1.645,38.922,4,9.813,8.769,71,9,30,-11.629,3.203,22.934,-13.827,-12.635,-14.334,5.31,-2.096,-0.083,0.268,71,1,0,0,0,2,1,-7.138,-0.159,-7.129
32,-21.963,3.49,23.793,3.629,1.453,1,2,3,3,0.969,31,0,13,38,-4.519,76.735,11,23.639,20.322,112,10,55,-18.708,6.498,30.008,-23.513,-20.307,-26.047,13.098,-4.857,-0.249,0.804,112,2,1,0,3,3,1,-8.89,-0.134,-9.52
41,-28.434,6.306,30.825,5.73,2.183,4,2,6,2,0.976,40,1,17,49,-5.732,90.556,14,31.517,28.126,155,14,79,-23.939,13.557,41.262,-26.711,-23.296,-27.123,17.823,-6.722,-0.498,1.072,155,2,4,0,6,2,0.967,-11.133,-0.15,-11.366
18,-14.253,2.207,17.814,1.9,0.735,0,1,4,2,1,18,0,3,16,-2.33,45.433,3,14.289,11.776,74,4,52,-12.393,11.89,21.299,-14.999,-16.542,-20.117,8.19,-2.814,-0.083,0.804,74,1,0,0,4,2,1,-7.107,-0.116,-7.311
31,-4.697,0.885,43.268,11.098,4.596,2,6,8,7,0.968,30,0,14,39,-2.471,29.816,10,19.159,9.464,20,34,109,-3.147,18.167,29.761,-4.326,-10.031,-13.057,9.009,-2.262,-0.664,2.01,20,6,2,0,8,7,1,-7.704,-0.03,-6.134
23,-15.939,2.358,19.505,4.356,1.787,0,2,1,4,1,23,0,1,18,-3.126,50.112,0,18.319,14.612,80,13,51,-13.614,9.206,26.796,-16.614,-13.74,-17.197,10.245,-3.492,-0.166,0.67,80,2,0,0,1,4,1,-7.77,-0.13,-8.206
16,-18.081,3.096,9.331,0.515,0.285,0,0,4,0,1,16,0,0,14,-2.454,53.616,0,14.097,12.64,96,1,30,-16.066,7.569,19.813,-18.918,-17.695,-20.496,8.07,-3.021,0,0.536,96,0,0,0,4,0,1,-7.334,-0.155,-7.703
33,-17.811,3.136,21.974,3.744,1.252,0,1,8,3,0.97,32,0,4,30,-5.189,68.286,4,24.512,21.14,85,10,53,-14.401,7.779,28.3,-16.476,-13.474,-16.157,14.43,-5.053,-0.083,1.474,85,1,0,0,8,3,0.958,-7.787,-0.111,-8.88
