Y1_ligscore_pose,Y2_ligscore_rank
-34.85,-6.57
1.59,7.61
-19.42,-2.56
-15.31,0.82
-28.6,-13.69
-28.7,-8.69
-24.1,-6.63
-28.5,-2.67
-51.44,-12.82
-33.59,-2.18
-33.91,-9.26
-40.76,-11.33
-56.1,-10.95
1.86,9.56
-13.65,4.75
-18.14,3.14
-29.35,-4.62
-46.54,-9.96
-50.4,-8.1
-41.62,-2.86
-74.02,-12.75
-74.41,-3.52
-27.34,-2.8
-26.35,-1.81
2.63,13.78
-10.42,6.59
-47.37,-6.54
-62.3,-13.38
-45.53,-9.58
-82.21,-8.33
-62.13,-13.97
-50.39,-3.36
-44.55,-5.98
-44.57,-4.72
-27.32,-4.2
-30.96,-6.77
-24.24,-3.17
-22.91,-13.32
-46.04,-5.92
-45.68,-4.5
-29.53,-8.32
-33.6,-13.1
-20.09,-3.83
-24.08,-3.21
-12.44,3.71
-9.97,6.79
-18.65,-1.89
-42.38,-4.56
-55.81,-8.78
-33.71,-9.03
-35.18,0.12
-33.48,-3.85
-26.53,-6.35
-37.8,-5.99
-48.12,-1.94
-35.34,-8.77
-35.97,-8.7
-42.78,-4.44
-35.69,-10.42
-25.91,-4.36
-35.15,-6.83
-15.71,-5.82
-3.46,3.55
-17.15,2.49
-17.5,-3.53
-35.07,-16.13
-31.07,-9.17
-7.77,7.43
-13.97,5.79
-15.95,-2.17
-45.38,-9.81
-36.51,1.64
-33.93,2.44
-18.68,0.23
-35.45,-4.12
-38.06,1.01
-15.41,-5.84
-43.59,-12.34
-40.94,-5.48
-31.77,-6.02
-35.05,-9.75
-50.1,-13.23
-4.87,5.21
-29.82,-7.4
-30.59,-3.01
-47.39,-9.83
-34.64,-3.21
-35.16,4.83
-33.15,-5.04
-38.57,-9.08
-58.05,-8.67
-39.56,-3
-45.14,-15.24
-56.34,-14.12
-31.31,-6.44
-33.87,-7.97
-33.93,-13.12
-18.42,-7.55
-0.64,6.47
-11.03,-1.52
-19.2,-7.83
-15.38,-4.19
-39.98,-4.16
-19.86,-4.79
-46.99,-11.93
-39.58,-4.19
-13.95,1.73
-27.22,-1.26
-35.1,-13.42
-54.22,-10.41
-49.47,-8.59
-37.19,-3.76
-30.05,-5.04
-31.58,-8.02
-31.71,-7.29
-19.14,-3.29
-13.73,-1.2
-7.81,5.59
-66.99,-8.32
-30.25,-4.77
-38.6,-9.11
-22.55,0.36
-38.67,3.33
-38.82,-2.56
-21.57,0.64
-31.3,-7.91
-31.3,-1.45
-28.77,-7.84
-32.59,-3.12
-34.48,-4.69
-41.6,-6.92
-44.41,-0.12
-32,5.93
-77.82,-17.42
-21.15,-2.54
-27.18,-6.33
-34.93,-4.5
-49.28,-17.19
-54.59,-0.19
-34.98,-5.09
-28.72,-3.98
-68.33,-12.51
-34.61,-9.26
-5.14,5.16
-19.98,0.25
-15.51,-0.09
-31.77,-7.18
-46.14,-3.62
-48.4,-6.24
-39.51,3
-46.52,-3.93
-25.81,3.32
-46.37,-6.24
-57.81,-7.71
-17.05,-6.42
-26.69,-0.09
-48.46,-3.25
-32.85,-9.9
-39.99,-9.59
-40.51,-11.65
-6.23,15.68
-40.61,-4.98
-29.36,-4.31
-50.7,-4.18
-18.55,10.03
-28.12,5.44
-18.98,-3.97
-25.03,-4.45
-10.62,1.36
-28.82,-0.41
-58.53,-7.52
-31.4,-0.35
-22.88,2.56
-37.19,-4.45
-37.75,1.85
-18.4,-3.43
-54.15,-9.29
-86.32,-21.77
-25.8,-9.98
-33.7,-20.46
-57.81,-33.37
-38.82,-11.77
-28.49,-4.58
-39.23,-10.5
-36.98,-23.62
-38.14,-26.43
-38.79,-8.2
-37.19,1.64
-15.78,1.51
-35.87,-1.27
-66.13,-8.36
-71.81,-1.28
-71.26,-7.09
-21.89,5.61
-34.05,-1.96
-34.39,-1.79
-10.8,-0.44
-22.53,-5.82
-23.26,-6.98
-29.82,-7.59
-29.69,4.13
-28.02,-7.65
-30.21,3.11
-71.23,-10.87
-44.63,-1.34
-39.53,-9.48
-44.62,-9.15
-47.91,-3.19
-15.35,-2.62
-22.21,2.47
-20.93,4.41
-34.81,-3.82
-30.89,2.32
-49.75,-7.34
-44.24,8.8
-89.6,-9.02
-87.72,-11.34
-20.94,-4.01
-30,0.79
-19.56,3.44
-24.87,-2.79
-56.5,-3.29
-54.32,-1.55
-46.5,1.58
-80.48,-11.11
-70.48,-8.97
-64.49,-8.8
-52.66,-7.92
-47.33,-9.61
-33.38,-6.17
-39.27,-10.55
-36.36,-8.46
-23.75,-9.65
-31.58,7.94
-46.68,0.85
-41.44,-17.31
-38.29,-16.78
-42.11,-18.69
-36.38,-7.62
-25.67,-6.46
-12.47,6.65
-24.69,-6.72
-53.12,-6.21
-35.52,2.95
-32.64,-2.61
-42.73,-1.64
-37.73,-2.07
-29.35,-6.25
-52.61,-8.86
-49.15,-4.87
-36.88,-2.25
-38.86,-2.63
-43.86,-1.2
-39.55,-1.6
-28.5,-4.57
-45.7,-5.87
-13.59,-0.79
-17.2,-4.52
-27.42,-5.55
-17.97,-3.04
-26.48,1.27
-32.67,-9.24
-12.65,3.45
-18.56,2.76
-13.06,1.48
-43.06,-3.77
-43.24,-3.2
-43.24,-4.56
-22.65,1.97
-37.47,-6.57
-40.65,-5.18
-23.41,-8.6
-49.47,-9.71
-43.86,-3.27
-27.98,-2.19
-28.92,-1.65
-58.68,-12.43
-14.76,-1.47
-32.81,-6.22
-46.88,-5.32
-47.04,-4.76
-34.54,-5.88
-46.81,0.2
-36.54,2.35
-39.44,1.86
-82.4,-14.64
-39.43,-3.89
-37.33,-1.94
-50.25,-0.1
-37.6,-9.37
-47.31,-10.55
-28.45,-0.95
-18.65,-3.76
-11.77,-3.18
-22.42,-10.77
-27.71,-11.43
-25.25,-10.19
-50.47,-11.43
-24.24,-5.66
-58.67,-17.97
-47.98,-7.88
-23.28,-5.33
-35.11,-6.17
-32.93,-0.68
-61.4,-8.63
-37.05,2.51
-58.77,-12.61
-40.51,-11.97
-24.31,-3.25
-40.6,-14.05
-18.59,-1.33
-21.04,-5.47
-19.31,-3.81
-71.02,-14.17
-44.78,-1.19
-35.07,-2.34
-22.29,3.36
-41.11,5.44
-41.58,-0.67
-29.92,0.54
-29.13,1.43
-48.96,-5.44
-41.08,-13.58
-39.68,-7.03
-38.69,-4.98
-43.96,-3.91
-39.16,-0.82
-40.91,-1.09
-82.99,-16.45
-28.2,-3.22
-30.08,-7.74
-25.86,2.85
-37.58,-5.01
-80.14,-15.33
-39.36,-8.67
-40.77,-3.87
-71.17,-13.49
-42.42,-9.37
-4.4,5.31
-21.19,4.73
-23,-5.65
-44.51,-5.72
-60.75,-2.98
-58.28,-2.91
-60.32,-3.05
-52.16,-0.38
-19.76,12.86
-61.95,-11.36
-76.68,-13.92
-22.64,-12.17
-45.8,-7.01
-45.44,-6.14
-31.48,0.32
-36.12,-6.49
-35.32,-8.31
2.83,21.06
-34.08,-16.68
-28.46,-2.6
-45.27,-5.35
-17.56,3.2
-27.62,-1.03
-21.97,-2.33
-23.39,-2.38
-10.02,2.52
-26.05,-2.59
-48.26,-9.51
-36.24,-9.07
-24.35,-6.25
-23.94,-0.63
-18.94,5.55
-22.08,-12.04
-34.83,-12.35
-55.11,-7.9
-20.39,-9.32
-25.09,-6.81
-34.47,-9.06
-43.92,-26.87
-30.6,-12.61
-35.06,-21.47
-20.16,-9.65
-22.54,-11.86
-36.54,-11.33
-29.05,-1.81
-20.58,-4.86
-34.55,-13.35
-51.15,-9.55
-57.15,-15.91
-52.35,-16.09
-35.9,-9.42
-31.77,-4.21
-38.63,-12.75
-4.99,4.74
-21.47,-6.28
-13.9,1.01
-24.51,-5.14
-28.51,-3.63
-20.16,-4.41
-27.03,-2.8
-55.74,-9.12
-41.22,-7.1
-26.97,-4.58
-41.47,-14.9
-45.99,-7.9
-2.25,9.13
-17.8,-6.96
-15.73,2.99
-25.1,-0.38
-27.12,-4.14
-44.22,-7.93
-63.44,-18.72
-53.45,-6.95
-46.51,0.2
-28.11,-3.4
-31.55,-4.37
-4.62,11.78
-26.32,-9.22
-43.29,-8.07
-54.57,-17.24
-45.1,-15.04
-75.56,-24.95
-58.48,-22.56
-50.59,-12.78
-37.46,-6.89
-38.87,-7.41
-36.55,-16.39
-25.84,-6.61
-33.72,-14.13
-13.1,-2.74
-44.18,-17.07
-56.91,-14.67
-21.14,-3.39
-29.46,-9.9
-19.09,-5.02
-28.9,-12.15
-26.78,-12.7
-34.33,-20.65
-25.35,-9.73
-34.44,-5.79
-47.27,-17.07
-26.71,-2.69
-47.83,-16.58
-35.53,-9.27
-27.77,-4.13
-39.66,-5.17
-35.42,1.41
-36.24,-5.4
-31.53,-5.06
-31.84,1.99
-36.24,-17.64
-21.73,-2.67
-41.81,-10.56
-13.05,1.59
-16.56,-6.86
-19.3,0.04
-16.66,0.25
-31.45,-8.31
-26.1,-5.61
-14.38,-0.21
-23.25,-0.9
-9.92,2.62
-23.8,0.99
-31.4,-1.72
-23.29,0.69
-21.48,-0.01
-33.99,-5.7
-24.18,-3.86
-20.15,-4.8
-27.3,-4.26
-42.07,-8.42
-26.53,-4.16
-29.62,-5.35
-50.17,-12.22
-17.91,-4.34
-32.08,-8.32
-41.83,-13.07
-36.14,-4.44
-22.53,3.48
-28.68,-2.21
-38.05,-5.33
-45.5,-15.93
-66.33,-13.16
-33.91,-6.63
-35.64,-6.49
-43.9,-2.73
-27.08,-5.66
-30.35,-7.03
-27.75,-8.43
-18.14,-13.28
-15.21,-12.22
-17.81,-16.49
-18.13,-3.14
-20.38,-5.32
-36.68,-6.17
-19.68,-2.15
-37.79,-12.95
-30.75,-4.19
-21.28,-3.88
-30.86,-8.78
-28.68,-6.46
-39.05,-2.33
-26.05,1.79
-38.87,-9.02
-30.77,-6.53
-28.6,-8.48
-30.23,-8.97
-20.34,-4.67
-16.13,-0.96
-10.52,4.22
-66.18,-16.05
-23.3,2.1
-28.56,-5.3
-25.39,-4.54
-41.01,-9.27
-28.35,-4.25
-22.35,-0.5
-21.65,1.38
-39.04,-5.5
-31.18,-9.8
-38.91,-21.06
-38.2,-6.91
-34.24,-3.98
-41.01,-9.96
-25.64,8.18
-59.6,-16.95
-26.88,-9.18
-28.29,-9.98
-25.32,1.86
-43.4,-15.83
-63.31,-21.59
-41.54,-15
-41.95,-14.45
-49.43,-5.7
-35.86,-9.95
-6.22,4.24
-23.86,-2.11
-6.75,6.81
-36.25,-8.2
-54.2,-21.82
-57.91,-24.4
-55.18,-21.17
-50.19,-16.52
-32.71,-12.49
-41.72,-12.19
-54.57,-14.13
-16.39,-9.46
-27.27,-4.87
-42.2,-9.1
-33.63,-13.71
-38.28,-15.57
-27.9,-9.77
-16.28,3.37
-43.12,-8.16
-30.63,-4.33
-32.18,-4.5
-34.63,-8.59
-30.98,-4.27
-28.48,-10.19
-34.25,-13.28
-13.81,1.38
-27.36,-4.99
-62.29,-10.63
-31.47,-5.39
-25.06,-3.68
-33.05,3.87
-28.8,6.82
-19.11,-2.16
-34.59,-5.96
-67.21,-26.84
-18.96,-1.54
-28,-4.53
-45.21,-9.44
-35.96,-6.15
-30.06,-2.5
-40.35,-9.74
-26.58,-8.49
-30.36,-11.53
-45.92,-10.68
-46.63,-16.13
-30.87,-8.21
-61.42,-33.14
-62.5,-9.05
-36.54,4.46
-49.62,-3.04
-37.7,-6.51
-38.29,-4.09
-35.3,-3.89
-15.08,-8.15
-33.72,-14.45
-20.32,-2.36
-31.15,-6.89
-41.81,-8.92
-27,-4.4
-34.67,-3.5
-53.46,-1.46
-28.73,-3.19
-36.56,-8.93
-28.63,-5.41
-61.59,-10.41
-3.86,3.28
-26.55,-5.22
-24.23,-0.88
-31.25,-5.19
-43.2,-7.86
-66.26,-18.95
-35.52,13.99
-52.24,1.69
-35.23,-0.81
-27.57,-3.74
-48.49,-10.41
2.85,22.38
-22.66,-0.59
-39.78,-2.01
-64.43,-3.26
-38.73,0.71
-5.2,22.22
-80.17,-18.73
-55.93,-14.73
-46.87,-11.33
-45.81,-8.04
